district,district_alt,district_id,school,school_id,type,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,type_special,lat,lon
Charleston County School District,Charleston 01,1001999,Edith L. Frierson Elementary,1001075,E,6133 Maybank Highway,Wadmalaw Island,SC,29487,PK-5,148,843-559-4500,http://www.ccsdschools.com/frierson,Dr. Deborah Davis-Cummings,11,,no_result,no_result
Charleston County School District,Charleston 01,1001999,Sanders-Clyde Elementary,1001076,E,805 Morrison Drive,Charleston,SC,29403,PK-5,384,843-724-7783,sandersclyde.ccsdschools.com,Janice H Malone,41,,32.80113676043952,-79.9370550800418
Charleston County School District,Charleston 01,1001999,Pepperhill Elementary,1001077,E,3300 East Creaola Rd,North Charleston,SC,29420,PK-5,523,843-767-5905,https://www.ccsdschools.com/Domain/76,Dr. Jennifer Baez,41,,no_result,no_result
Charleston County School District,Charleston 01,1001999,James Simons Montessori,1001079,E,741 King Street,Charleston,SC,29403,PK-8,392,843-724-7763,www.ccsdschools.com/simons,Christine Ryan,25,,32.801015,-79.949427
Charleston County School District,Charleston 01,1001999,Springfield Elementary,1001081,E,2130 Pinehurst Ave,Charleston,SC,29414,PK-5,629,843-763-1538,springfield.ccsdschools.com,Megan Williams,47,,32.8365194770168,-80.0602918792448
Charleston County School District,Charleston 01,1001999,St. Andrew's School Of Math And Science,1001082,E,30 Chadwick Drive,Charleston,SC,29407,PK-5,704,843-763-1503,https://www.ccsdschools.com/standrews,Amy Cario,47,,32.777471,-79.981057
Charleston County School District,Charleston 01,1001999,Angel Oak Elementary,1001083,E,6134 Chisolm Rd.,Johns Island,SC,29455,PK-5,640,843-559-6412,https://www.ccsdschools.com/angeloak,Judith Condon,48,,no_result,no_result
Charleston County School District,Charleston 01,1001999,Stiles Point Elementary,1001084,E,883 Mikell Dr. ,Charleston,SC,29412,PK-5,667,843-762-2767,https://stilespoint.ccsdschools.com,Michael Ard,45,,32.737170195652176,-79.9265400652174
Charleston County School District,Charleston 01,1001999,Stono Park Elementary,1001085,E,314 Huntley Dr.,Charleston,SC,29407,PK-5,429,843-763-1507,www.stonopark.ccsdschools.com,Kimberly Richards,31,,32.77979516105256,-80.01653473729323
Charleston County School District,Charleston 01,1001999,Sullivan's Island Elementary,1001086,E,2014 Mike Perkis Pl,Sullivans Island,SC,29482,PK-5,474,843-883-3118,sullivansisland.ccsdschools.org,Susan R. King,37,,no_result,no_result
Charleston County School District,Charleston 01,1001999,Mamie P. Whitesides Elementary,1001090,E,1565 Rifle Range Road,Mt. Pleasant,SC,29464,PK-5,709,843-849-2838,www.whitesides.ccsdschools.com,Cynthia Perez,47,,32.80859645788743,-79.83679190594883
Charleston County School District,Charleston 01,1001999,Ashley River Creative Arts Elementary,1001091,E,1871 Wallace School Rd.,Charleston,SC,29407,K-5,575,843-763-1555,www.ccsdschools.com/ashleyriver,Michelle Conner,47,,32.801178893859465,-80.0223195822433
Charleston County School District,Charleston 01,1001999,C. E. Williams Middle School For Creative And Scientific Arts,1001092,M,3090 Sanders Road / 1776 William Kennerty Drive,Charleston,SC,29414,6-8,1240,[843-763-1529],https://www.ccsdschools.com/williams https://www.ccsdschools.com/cewnorth,Kevin Smith and Maite Porter,91,,no_result,no_result
Charleston County School District,Charleston 01,1001999,James B. Edwards Elementary,1001093,E,855 Von Kolnitz Road,Mt. Pleasant,SC,29464,PK-5,694,(843) 849-2805,https://www.ccsdschools.com/jbedwards,Robin Fountain,51,,32.820178090896135,-79.85352683538123
Charleston County School District,Charleston 01,1001999,Buist Academy,1001094,E,103 Calhoun St.,Charleston,SC,29401,1-8,542,843-724-7750,https://www.ccsdschools.com/buist,Shawntay White,41,,32.787548526833824,-79.93213128114284
Charleston County School District,Charleston 01,1001999,Mt. Zion Elementary,1001095,E,3464 River Road,Johns Island,SC,29455,PK-5,249,843-559-3841,https://www.ccsdschools.com/mtzion,Anna Mims,21,,no_result,no_result
Charleston County School District,Charleston 01,1001999,Belle Hall Elementary,1001096,E,385 Egypt Road,Mt. Pleasant,SC,29464,PK-5,619,843-849-2841,ccsdschools.com/bellehall,Kevin Conklin,43,,32.850190975408395,-79.85545666943297
Charleston County School District,Charleston 01,1001999,Charleston School Of The Arts,1001098,H,5109 B West Enterprise Street,North Charleston,SC,29405,6-12,1120,843-529-4990,https://www.ccsdschools.com/soa,Dr. Shannon Cook,75,,32.8855908,-79.9990518
Charleston County School District,Charleston 01,1001999,Academic Magnet High,1001099,H,5109 A West Enterprise St,North Charleston,SC,29405,9-12,698,843-746-1300,https://www.ccsdschools.com/amhs,Catherine Spencer,41,,32.8855908,-79.9990518
Charleston County School District,Charleston 01,1001999,Charleston Progressive,1001101,E,382 Meeting Street,Charleston,SC,29403,PK-5,269,(843)720-2967,http://progressive.ccsdschools.com,Wanda Wright-Sheats,22,,32.790634,-79.936737
Charleston County School District,Charleston 01,1001999,Charles Pinckney Elementary,1001102,E,3300 Thomas Cario Blvd.,Mount Pleasant,SC,29466,3-5,622,843-856-4585,pinckney.ccsdschools.com,Leanne Sheppard,38,,no_result,no_result
Charleston County School District,Charleston 01,1001999,Thomas C. Cario Middle,1001103,M,3500 Thomas Cario Boulevard,Mt. Pleasant,SC,29466,6-8,1141,843-856-4595,www.ccsdschools.com/cario,Gayle Morris,67,,no_result,no_result
Charleston County School District,Charleston 01,1001999,West Ashley High,1001104,H,4060 West Wildcat Blvd,Charleston,SC,29414,9-12,1776,843-573-1201,https://www.ccsdschools.com/westashleyhigh,Ryan Cumback,109,,32.81743490527557,-80.07051734771589
Charleston County School District,Charleston 01,1001999,James Island Elementary,1001107,E,1872 Grimball Road,Charleston,SC,29412,PK-5,484,843-762-8240,jies.ccsdschools.com,Jonetta Gregory,37,,32.7023277,-79.9627603
Charleston County School District,Charleston 01,1001999,Drayton Hall Elementary,1001109,E,3183 Ashley River Road,Charleston,SC,29414,PK-5,601,843-852-0678,ccsdschools.com/draytonhall,Brian Agnew,41,,32.853161549999996,-80.07289930881214
Charleston County School District,Charleston 01,1001999,Jerry Zucker Middle School Of Science,1001111,M,6401 Dorchester Road  ,North Charleston,SC,29418,6-8,558,843-767-8383,https://www.ccsdschools.com/zucker,Jacob Perlmutter,59,,32.87631297441331,-80.06033595644931
Charleston County School District,Charleston 01,1001999,Pinehurst Elementary,1001112,E,7753 Northside Dr,North Charleton,SC,29420,1-5,723,843-824-8728,ccsdschools.com/Domain/77,Dianne Benton,54,,no_result,no_result
Charleston County School District,Charleston 01,1001999,Montessori Community School,1001113,E,2122 Wood Avenue,Charleston,SC,29414,PK-8,270,843-769-0346,montessori.ccsdschools.com,Kimberly Hay,16,,32.83676073261596,-80.05738989664768
Charleston County School District,Charleston 01,1001999,North Charleston Creative Arts Elementary,1001114,E,5200 Lackawanna Blvd,North Charleston,SC,29405,PK-5,509,8435292831,https://www.ccsdschools.com/northcca,Rob Grant,44,,32.8839641,-79.993165
Charleston County School District,Charleston 01,1001999,Simmons Pinckney Middle,1001115,M,244 President St,Charleston,SC,29403,6-8,264,843-724-7789,https://www.ccsdschools.com/simmonspinckney,Stephanie Spann,27,,32.79267201291713,-79.9527652912502
Charleston County School District,Charleston 01,1001999,Deer Park Middle,1001116,M,2263 Otranto Road,North Charleston,SC,29406,6-8,413,843-990-5200,https://www.ccsdschools.com/deerpark,Shanitra Deas,32,,32.964367122448984,-80.05214353061224
Charleston County School District,Charleston 01,1001999,Carolina Park Elementary,1001117,E,3650 Park Ave. Blvd.,Mount Pleasant,SC,29466,K-5,876,843-856-8060,https://www.ccsdschools.com/carolinapark,Michael Antonelli,58,,32.8824595,-79.7706064
Charleston County School District,Charleston 01,1001999,Camp Road Middle,1001118,M,1825 Camp Road,Charleston,SC,29412,6-8,799,843-762-2784,https://www.ccsdschools.com/camproad,Sharon Randall,50,,32.734851,-79.971722
Charleston County School District,Charleston 01,1001999,Lucy Garrett Beckham High,1001121,H,1560 Mathis Ferry Road,Mount Pleasant,SC,29466,9-10,738,843-953-2900,https://www.ccsdschools.com/lucybeckham,Anna Dassing,44,,32.82428428125,-79.84851756249999
Charleston County School District,Charleston 01,1001999,Meeting Street Elementary,1001200,E,3750 Dorchester Road,North Charleston,SC,29405,PK-7,1021,843-745-7113,https://www.ccsdschools.com/mse-burns & https://www.ccsdschools.com/mse-brentwood,Chad Weiden,107,,32.85339768986745,-79.9912115095384
Charleston County School District,Charleston 01,1001999,Charleston Development Academy,1001612,E,233 Line Street / 165 St. Philip Street,Charleston,SC,29403,PK-8,168,843-724-1030,https://www.ccsdschools.com/developmentacademy,Shawn Johnson,14,charter,no_result,no_result
Charleston County School District,Charleston 01,1001999,East Cooper Montessori Charter,1001614,E,1120 Rifle Range Rd.,Mount Pleasant,SC,29464,PK-8,405,843-216-2883,montessoricharterschool.com,Jody Swanigan,32,charter,32.797431,-79.8515305
Charleston County School District,Charleston 01,1001999,Greg Mathis Charter High,1001615,H,2872 Azalea Drive ,North Charleston,SC,29405,9-12,71,843-557-1611,https://www.ccsdschools.com/gmchs,Ms. Natrice Henriques,6,charter,32.84414001145383,-79.97305103436148
Charleston County School District,Charleston 01,1001999,James Island Charter High,1001616,H,1000 Ft. Johnson Rd.,Charleston,SC,29412,9-12,1580,843-762-2754,www.ccsdschools.com/jichs,Timothy Thorn,106,charter,32.7295081,-79.9353474
Charleston County School District,Charleston 01,1001999,Orange Grove Charter School,1001618,E,1225 Orange Branch Rd,Charleston,SC,29407,PK-8,1170,843-763-1520,orangegrovecharter.com,John H. Clendaniel,69,charter,32.81926,-79.999046
Charleston County School District,Charleston 01,1001999,Charleston Charter School For Math And Science,1001620,H,1002 King Street,Charleston,SC,29403,6-12,561,843-720-3085,https://charlestonmathscience.org/,Mary Carmichael,46,charter,32.80318773963892,-79.95093678371047
Charleston County School District,Charleston 01,1001999,Pattison's Academy For Comprehensive Education,1001628,E,721 Wappoo Rd.,Charleston,SC,29407,K-12,39,843-402-7850,www.pattisonsacademy.org,Laura Del Duca,6,charter,32.79015540909091,-80.01983463636364
Charleston County School District,Charleston 01,1001999,Carolina Voyager Charter,1001629,E,721 Wappoo Road,Charleston,SC,29407,K-8,380,843-203-3891,https://www.carolinavoyager.org/,Dr. Harry Walker,23,charter,32.79015540909091,-80.01983463636364
Charleston County School District,Charleston 01,1001999,Allegro Charter School Of Music,1001630,H,2731 Gordon St,North Charleston,SC,29405,6-12,201,843-297-8033,http://allegro.ccsdschools.com/,Daniel Neikirk,22,charter,32.86249504301374,-79.99915009522488
Cherokee County School District 1,Cherokee 01,1101999,Blacksburg High School,1101001,H,201 W Ramseur Drive,Blacksburg,SC,29702,9-12,534,(864) 206-2378,bhs.cherokee1.org,Hunter Jolley,37,,35.114597,-81.51473
Cherokee County School District 1,Cherokee 01,1101999,John E. Ewing Middle School,1101002,M,171 E. Junior High Road,Gaffney,SC,29340,6-8,513,864-206-2449,https://ems.cherokee1.org/,Michael Mullinax,32,,35.0573806,-81.62979972975248
Cherokee County School District 1,Cherokee 01,1101999,Gaffney High School,1101003,H,149 Twin Lake Rd,Gaffney,SC,29341,9-12,1818,864-206-2000,ghs.cherokee1.org,Erik Gerstenacker,109,,no_result,no_result
Cherokee County School District 1,Cherokee 01,1101999,Alma Elementary School,1101005,E,213 Alma Street,Gaffney,SC,29340,PK-5,161,(864) 206-6482,aes.cherokee1.org,Mrs. Tracy Allison,16,,35.08165135,-81.61002047787704
Cherokee County School District 1,Cherokee 01,1101999,Blacksburg Middle School,1101007,M,101 London Street,Blacksburg,SC,29702,6-8,409,864-206-6829,bms.cherokee1.org,Melody Bradley,26,,35.11385567688887,-81.516608841008
Cherokee County School District 1,Cherokee 01,1101999,Corinth Elementary School,1101009,E,128 Corinth Road,Gaffney,SC,29340,PK-5,329,(864) 206-6600,ces.cherokee1.org,Mrs. Brenda Sharts,27,,no_result,no_result
Cherokee County School District 1,Cherokee 01,1101999,Draytonville Elementary School,1101010,E,2373 Wilkinsville Highway,Gaffney,SC,29340,PK-5,184,864-206-6783,https://des.cherokee1.org/,Isaac Wallace,15,,35.03547036576537,-81.5875650619813
Cherokee County School District 1,Cherokee 01,1101999,Mary Bramlett Elementary School,1101011,E,301 Spruce St,Gaffney,SC,29340,PK-5,209,8642062520,mbe.cherokee1.org,Tanya Roberts,22,,35.07594765,-81.63596656322329
Cherokee County School District 1,Cherokee 01,1101999,Goucher Elementary School,1101012,E,604 GOUCHER SCHOOL RD,Gaffney,SC,29340,PK-5,223,8642066890,ges.cherokee1.org,Karen W. Henderson,16,,34.9876584,-81.71252200668164
Cherokee County School District 1,Cherokee 01,1101999,B. D. Lee Elementary School,1101015,E,504 Overbrook Drive,Gaffney,SC,29341,PK-5,340,864-206-6432,https://bdl.cherokee1.org/,Dr. Sharon Jefferies,26,,35.077823773856906,-81.66393349105279
Cherokee County School District 1,Cherokee 01,1101999,Luther Vaughan Elementary,1101019,E,192 Vaughan Road,Gaffney,SC,29341,PK-5,322,8642066054,https://lve.cherokee1.org/,Loretta A. Holmes,27,,no_result,no_result
Cherokee County School District 1,Cherokee 01,1101999,Blacksburg Elementary School,1101020,E,402 Hardin Street,Blacksburg,SC,29702,3-5,322,864-206-6518,https://bes.cherokee1.org/,Shelton Clinton,23,,35.11455975049609,-81.51656025029766
Cherokee County School District 1,Cherokee 01,1101999,Limestone Central Elementary School,1101021,E,727 Pacolet Hwy.,Gaffney,SC,29340,PK-5,327,864-206-6620,https://lce.cherokee1.org/,Bryan Hullender,26,,35.0487696,-81.67096295464246
Cherokee County School District 1,Cherokee 01,1101999,Grassy Pond Elementary,1101022,E,1146 Boiling Springs Hwy,Gaffney,SC,29341,PK-5,415,8642066671,gpe.cherokee1.org,Ginger Lipscomb,33,,no_result,no_result
Cherokee County School District 1,Cherokee 01,1101999,Northwest Eelemntary School,1101023,E,840 Green River Road,Gaffney,SC,29341,PK-5,385,864-206-6727, https://nwe.cherokee1.org ,Kathy Phillips,34,,35.1037313,-81.76377386090053
Cherokee County School District 1,Cherokee 01,1101999,Gaffney Middle School,1101024,M,805 East Frederick Street,Gaffney,SC,29340,6-8,1034,864-206-6129,https://gms.cherokee1.org/,Dr. Eric G. Blanton,66,,35.06664897940079,-81.64217220388865
Chester County School District,Chester 01,1201999,Chester High School,1201002,H,1330 JA Cochran By Pass,Chester,SC,29706,9-12,784,803-377-3161,https://www.chester.k12.sc.us/chesterhigh,Duane Fitzgerald Graham,48,,no_result,no_result
Chester County School District,Chester 01,1201999,Chester Middle School,1201004,M,1014 McCandless Road,Chester,SC,29706,6-8,585,8033778192,https://www.chester.k12.sc.us/Domain/11,Sheka Houston,43,,34.71818145279892,-81.17414063226789
Chester County School District,Chester 01,1201999,Great Falls High School,1201005,H,411 Sunset Avenue,Great Falls,SC,29055,6-12,388,803-482-2210,http://www.chester.k12.sc.us/greatfallshigh,Dr. Jamal Sanders,30,,34.576083,-80.91719990103627
Chester County School District,Chester 01,1201999,Lewisville High School,1201006,H,3971 Lewisville High School Road,Richburg,SC,29729,9-12,386,803-789-5131,https://www.chester.k12.sc.us/Domain/18,Tammy E. Snipes,25,,34.720123599999994,-81.00275535389301
Chester County School District,Chester 01,1201999,Lewisville Middle School,1201008,M,3595 Lancaster Hwy,Richburg,SC,29729,5-8,421,803-789-5858,https://www.chester.k12.sc.us/lewisvillemiddle,Brian A. Edmond,24,,34.7249525,-81.01778008451713
Chester County School District,Chester 01,1201999,Great Falls Elementary School,1201011,E,301 Dearborn Street,Great Falls,SC,29055,PK-5,320,8034822214,https://www.chester.k12.sc.us/Domain/8,Tammy Taylor,25,,34.571955349999996,-80.89650107563139
Chester County School District,Chester 01,1201999,Lewisville Elementary School,1201014,E,4006 Lewisville High School Rd,Richburg,SC,29706,PK-4,493,803-789-5164,https://www.chester.k12.sc.us/Domain/9,Anne Stone,36,,34.719791099999995,-80.99838635515725
Chester County School District,Chester 01,1201999,Chester Park Elementary School Of Inquiry,1201018,E,835 Lancaster Highway,Chester,SC,29706,PK-5,409,8035817282,https://www.chester.k12.sc.us/chesterparkinquiry,Robin K. Taylor,32,,34.712184936226215,-81.17565569328104
Chester County School District,Chester 01,1201999,Chester Park Elementary School Of The Arts,1201020,E,835-A Lancaster Hwy,Chester,SC,29706,PK-5,356,803-581-7279,https://www.chester.k12.sc.us/Domain/14,Shana Harper,33,,34.7166107,-81.1662191
Chester County School District,Chester 01,1201999,Chester Park Center Of Literacy Through Technology,1201021,E,835B Lancaster Highway,Chester,SC,29706,PK-5,372,803-581-7275,https://www.chester.k12.sc.us/Domain/12,Walter Jones,29,,34.7166107,-81.1662191
Chester County School District,Chester 01,1201999,The Academy For Teaching And Learning,1201601,E,109 Hinton Street,Chester,SC,29706,K-8,346,803-385-6334,atlchester.com,Mary Ann Dawkins and Robyn Caldwell,26,charter,34.700673,-81.20725
Chesterfield County School District,Chesterfield 01,1301999,Cheraw High School,1301001,H,649 Chesterfield Highway,Cheraw,SC,29520,9-12,624,8439211000,https://chs.chesterfieldschools.org/,Dr. Jason R. Bryant,48,,34.693991154741205,-79.91336882051013
Chesterfield County School District,Chesterfield 01,1301999,Chesterfield High School,1301002,H,401 N. Page St.,Chesterfield,SC,29709,9-12,441,843-623-2161,https://cfh.chesterfieldschools.org/,Neil Adams,32,,34.741834,-80.089534
Chesterfield County School District,Chesterfield 01,1301999,Long Middle School,1301005,M,1010 West Greene Street,Cheraw,SC,29520,6-8,459,843-921-1010,https://lms.chesterfieldschools.org/,Karen Sharper Ellerbe,31,,34.69617784823086,-79.9060177899198
Chesterfield County School District,Chesterfield 01,1301999,Mcbee High School,1301006,H,264 East Pine Avenue,McBee,SC,29101,6-12,518,843-335-8251,https://mhs.chesterfieldschools.org/,"Dr. Josh McLaurin Ed.D, NBCT",31,,34.4684872,-80.2554801
Chesterfield County School District,Chesterfield 01,1301999,Central High School,1301007,H,200 Zion Church Road,Pageland,SC,29728,9-12,601,843-672-6116 ,http://cnh.chesterfieldschools.org,Damon L. Barnhill,42,,no_result,no_result
Chesterfield County School District,Chesterfield 01,1301999,New Heights Middle School,1301008,M,5738 Highway 151,"Jefferson, SC",SC,29718,6-8,525,843-658-6830,https://nhms.chesterfieldschools.org/,Dr. Omoro King,33,,34.6578049,-80.3764334
Chesterfield County School District,Chesterfield 01,1301999,Edwards Elementary School,1301014,E,2411 West Blvd.,Chesterfield,SC,29709,PK-5,510,843-623-2351,833-211-9595,Beth K. Suggs,35,,34.7381647865727,-80.11490204305368
Chesterfield County School District,Chesterfield 01,1301999,Jefferson Elementary School,1301015,E,809 West Elizabeth Street,"Jefferson, SC",SC,29718,PK-5,339,843-658-3295,https://jes.chesterfieldschools.org/,Dr. Jason McGuire,26,,34.6495954,-80.3955559
Chesterfield County School District,Chesterfield 01,1301999,Mcbee Elementary,1301020,E,284 East Maple Avenue,McBee,SC,29101,PK-6,338,843-335-8347,https://mes.chesterfieldschools.org/,Angela H. Demby,29,,34.4605393,-80.25445468871632
Chesterfield County School District,Chesterfield 01,1301999,Plainview Elementary School,1301021,E,16002 Hwy 102 ,Patrick,SC,29584,PK-6,168,843-498-6633,https://pve.chesterfieldschools.org/,Lauren Watson,10,,no_result,no_result
Chesterfield County School District,Chesterfield 01,1301999,Ruby Elementary School,1301023,E,249 Thurman Ave.,Ruby,SC,29741,PK-5,265,843-634-6310,res@chesterfieldschools.org,Caroline K. Miles,14,,34.740800759951455,-80.18773288875404
Chesterfield County School District,Chesterfield 01,1301999,Cheraw Intermediate School,1301026,E,421 CHESTERFIELD HWY,CHERAW,SC,29520,3-5,437,843-921-1030,https://cis.chesterfieldschools.org/,Scott Eddins,29,,34.69346885726149,-79.91076436610692
Chesterfield County School District,Chesterfield 01,1301999,Pageland Elementary,1301027,E,715 West McGregor Street,Pageland,SC,29728,3-5,360,843-672-2400,https://pes.chesterfieldschools.org/,Ellen Middleton,24,,34.76917293701335,-80.40175869008056
Chesterfield County School District,Chesterfield 01,1301999,Chesterfield-Ruby Middle School,1301028,M,14445 Hwy. 9,Chesterfield,SC,29709,6-8,421,843-623-9401,https://crms.chesterfieldschools.org/,Travis Rivers,23,,34.715038,-79.968932
Clarendon 1,Clarendon 01,1401999,Scott's Branch High,1401001,H,9253 Alex Harvin Hwy.,Summerton,SC,29148,9-12,208,803-574-2100,clarendon-sbhs.ss14.sharpschool.com,Dr. Nathaniel Nelson,15,,no_result,no_result
Clarendon 1,Clarendon 01,1401999,Dr. Rose H.Wilder Elementary,1401005,E,9297 Alex Harvin Hwy,"Summerton, SC",SC,29148,3-5,137,803-574-2150,http://clarendon-spes.ss14.sharpschool.com/,Joaquin Brown,14,,no_result,no_result
Clarendon 1,Clarendon 01,1401999,Scott's Branch Middle,1401020,M,9253 Alex Harvin Highway,Summerton,SC,29148,6-8,163,803-574-2100,http://clarendon-sbhs.ss14.sharpschool.com/,Corey Burgess,8,,no_result,no_result
Clarendon School District Two,Clarendon 02,1402999,Manning High School,1402007,H,2155 Paxville Highway,Manning,SC,29102,9-12,832,803-435-4417,https://www.clarendon2.k12.sc.us,Patricia Moultrie-Goldsmith,42,,33.69805511517241,-80.22921955416697
Clarendon School District Two,Clarendon 02,1402999,Manning Jr. High School,1402011,M,1101 W. L. Hamilton Road,Manning,SC,29102,7-8,426,803-435-8195,www.clarendon2.k12.sc.us,Terrie T. Ard,23,,no_result,no_result
Clarendon School District Two,Clarendon 02,1402999,Manning Elementary School,1402013,E,311 West Boyce Street,Manning,SC,29102,4-6,576,803-435-5066,www.clarendon2.k12.sc.us.,Allyson H Goff,31,,33.69606106200027,-80.21920688106789
Clarendon 3,Clarendon 03,1403999,East Clarendon Middle / High School,1403016,H,1101 Pope Street,Turbeville,SC,29162,6-12,701,843-659-2185,eastclarendon.org,Jason Cook,39,,33.892889,-80.014993
Clarendon 3,Clarendon 03,1403999,Walker Gamble Elementary School,1403019,E,2358 Walker Gamble Road,"New Zion, SC",SC,29111,PK-5,535,843-659-2102,www.walkergamble.com,Allen Kirby,39,,no_result,no_result
Colleton County School District,Colleton 01,1501999,Colleton County High School,1501005,H,150 Cougar Nation Drive,Walterboro,SC,29488,9-12,1442,843-782-0031,cchs.colleton.k12.sc.us,"Maurice D. Cannon, Sr.",87,,no_result,no_result
Colleton County School District,Colleton 01,1501999,Bells Elementary School,1501006,E,12088 Bells Hwy,Ruffin,SC,29475,PK-5,333,843-782-0012,bes.colleton.k12.sc.us,Amy Liebenrood,22,,no_result,no_result
Colleton County School District,Colleton 01,1501999,Cottageville Elementary School,1501011,E,648 Peirce Road,Cottageville,SC,29435,PK-5,473,843-782-4528,https://ces.colleton.k12.sc.us/,Janis Headden,32,,32.94301657492972,-80.47220402143533
Colleton County School District,Colleton 01,1501999,Forest Hills Elementary School,1501012,E,633 Hiers Corner Road,Walterboro,SC,29488,1-5,487,843-782-4512,http://fhecolleton.ss19.sharpschool.com/,Wilsey Hamilton,34,,32.9122652729884,-80.67396640336085
Colleton County School District,Colleton 01,1501999,Northside Elementary School,1501020,E,1929 Industrial Road,Walterboro,SC,29488,1-5,474,843-782-0015,https://nes.colleton.k12.sc.us/,Catherine Fanchette,34,,no_result,no_result
Colleton County School District,Colleton 01,1501999,Hendersonville Elementary School,1501021,E,6089 Hendersonville Hwy,Walterboro,SC,29488,PK-5,327,843-782-0027,https://hes.colleton.k12.sc.us/,Dr. Joseph Hollington,20,,32.873446,-80.6910877
Colleton County School District,Colleton 01,1501999,Colleton County Middle School,1501022,M,1379 Tuskegee Airmen Drive,Walterboro,SC,29488,6-8,1276,843-782-0040,https://ccms.colleton.k12.sc.us/,Mrs. Lauren E Behie,64,,no_result,no_result
Darlington County School District,Darlington 01,1601999,Hartsville Middle School,1601004,M,1427 Fourteenth Street,Hartsville,SC,29550,6-8,983,8438573000,http://hms.dcsdschools.org/,Brian Hickman,67,,no_result,no_result
Darlington County School District,Darlington 01,1601999,Hartsville High School,1601005,H,701 Lewellyn Ave.,Hartsville,SC,29550,9-12,1157,8438573700,http://hhs.dcsdschools.org/,Corey Lewis,73,,no_result,no_result
Darlington County School District,Darlington 01,1601999,Lamar High School,1601006,H,216 N. Darlington Avenue,Lamar,SC,29069,9-12,249,843-326-7500,lhs.dcsdschools.org,"Marlon L. Thomas, Ed.D.",19,,34.17126718848442,-80.05904343414959
Darlington County School District,Darlington 01,1601999,Spaulding Middle School,1601010,M,400 East Cartersville Hwy.,Lamar,SC,29069,6-8,225,(843- 326-7625,https://www.facebook.com/spauldingtigers/http://spm .dcsdschools.org/,C. Nicole Jones,18,,no_result,no_result
Darlington County School District,Darlington 01,1601999,Brockington Elementary Magnet School,1601013,E,413 Brockington Road,Darlington,SC,29532,3-5,337,843-398-2500,http://bes.dcsdschools.org/,Ada O. Sindab,24,,34.2864856,-79.88589025470907
Darlington County School District,Darlington 01,1601999,Carolina Elementary School,1601015,E,719 West Carolina Avenue,Hartsville,SC,29501,1-5,223,843-857-3230,http://ces.dcsdschools.org/,Kathryn Abbott,22,,34.36802674806946,-80.08891308602048
Darlington County School District,Darlington 01,1601999,North Hartsville Elementary,1601017,E,110 School Drive,Hartsville,SC,29550,1-5,541,843-857-3200,Http://NHE.DCSDschools.org/,Carla Watford,37,,34.392071344654155,-80.0762799541704
Darlington County School District,Darlington 01,1601999,Rosenwald Elementary/Middle School,1601020,E,508 Church St.,Society Hill,SC,29593,PK-8,132,843-398-2700,http://rems.dcsdschools.org/,Kimberly S. Mason,12,,34.500888359568464,-79.852562110247
Darlington County School District,Darlington 01,1601999,St. John's Elementary School,1601026,E,140 Park Street,Darlington,SC,29532,PK-5,491,843-398-2350,http://sje.dcsdschools.org/,Kathryn H. Atkinson,39,,34.30481728802241,-79.87418323762252
Darlington County School District,Darlington 01,1601999,Thornwell School For The Arts,1601027,E,437 W Carolina Ave,Hartsville,SC,29101,1-5,236,843-857-3090,tes.dcsdschools.org,Melinda Brown,22,,34.36992589247938,-80.08405297129669
Darlington County School District,Darlington 01,1601999,Darlington High School,1601030,H,525 Spring Street,Darlington,SC,29532,9-12,1084,843-398-2730,http://dhs.dcsdschools.org/,Cortney Gehrke,69,,34.318988,-79.877481
Darlington County School District,Darlington 01,1601999,Darlington Middle School,1601031,M,150 Pinedale Drive,Darlington,SC,29532,6-8,1020,843-398-5088,dms.dcsdschools.org,Eddie L. Shuler,61,,34.317643,-79.929985
Darlington County School District,Darlington 01,1601999,"Mayo High School For Math, Science & Technology",1601033,H,405 Chestnut Street,Darlington,SC,29532,9-12,338,843-398-2650,http://mhs.dcsdschools.org/,Arlene B. Wallace,21,,34.29219175,-79.86978845234304
Darlington County School District,Darlington 01,1601999,J. L. Cain Elementary,1601034,E,605 1st Street,Darlington,SC,29532,PK-5,500,843-398-6220,jlc.dcsdschools.org,Stephanie Harmon Bridges,35,,34.28919080916461,-79.85876315023194
Darlington County School District,Darlington 01,1601999,Bay Road Elementary School,1601036,E,1251 Bay Road,Hartsville,SC,29550,PK-5,531,843-398-6300,http://baydcsd.hosted111.sharpschool.com/,Jacqueline Lynn,37,,no_result,no_result
Darlington County School District,Darlington 01,1601999,Lamar-Spaulding Elementary School,1601037,E,5232 Lamar Hwy,Lamar,SC,29069,PK-5,503,843-398-6370,lse.dscdschools.org,Kristi Austin,33,,no_result,no_result
Dillon School District Three,Dillon 03,1703999,Latta High School,1703019,H,618 North Richardson Street,Latta,SC,29565,9-12,455,843-752-5751,http://www.dillon3.k12.sc.us/LHS/,Nanette W. Carmichael,21,,34.34182848349665,-79.42767078540712
Dillon School District Three,Dillon 03,1703999,Latta Middle School,1703021,M,602 North Richardson Street,Latta,SC,29565,5-8,468,843-752-7117,http://www.dillon3.k12.sc.us/LMS/,Stephanie J. Ard,21,,34.34163548413979,-79.42783386427418
