district,school,school_id,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,type_special,year,type,e_pct_me,e_pct_in_need_of_support,m_pct_me,m_pct_in_need_of_support,sc_pct_me,p17_sci1nm,sc_pct_in_need_of_support,len_str,tchreturn3yr_avg_pct_curr_yr,tchadvdegree_pct_curr_yr,tchinexperienced_pct_curr_yr,tchsalary_avg_curr_yr,tech_pct_class_wireless_curr_yr,tech_oneto_one_curr_yr,retained_pct_curr_yr,chronic_absenteeism_rate,gpercent_overall,total_actively_enrolled_students,gender_female,gender_male,black_or_african_american,white,schoolid,gender_missing,pupils_in_poverty,all_other_races,percent_female,percent_male,percent_gender_missing,percent_black_aa,percent_white,percent_all_other_races,percent_in_poverty
"Dorchester
School District
Two","Summerville Elementary
School",1802009,"835 South Main
Street",Summerville,SC,29483,PK-5,492,843-873-2372,https://www.ddtwo.org/ses,Katie Barker,37,NA,2019,E,55.9,22.8,61.8,16.5,62.5,NA,17.5,7,72.5,67.6,12.5,53842,80,50,0.8,9.8,NA,562,284,278,149,347,NA,0,340,66,50.5338078291815,49.46619217081851,0,26.51245551601423,61.74377224199288,11.743772241992882,60.4982206405694
"Dorchester
School District
Two","Summerville Elementary
School",1802009,"835 South Main
Street",Summerville,SC,29483,PK-5,492,843-873-2372,https://www.ddtwo.org/ses,Katie Barker,37,NA,2021,E,50.9,23.2,45,27.7,46.8,NA,32.3,7,82.4,64.5161290322581,16,56359.1502857143,100,100,0.6,7.2,NA,501,244,257,134,290,NA,0,296,77,48.70259481037924,51.29740518962076,0,26.746506986027946,57.884231536926144,15.369261477045908,59.08183632734531
"Dorchester
School District
Two","Summerville Elementary
School",1802009,"835 South Main
Street",Summerville,SC,29483,PK-5,492,843-873-2372,https://www.ddtwo.org/ses,Katie Barker,37,NA,2020,E,NA,NA,NA,NA,NA,NA,NA,NA,80,65.8,19.2,55129,100,50,1.3,13.5,NA,580,287,293,149,362,NA,0,343,69,49.48275862068965,50.51724137931034,0,25.689655172413794,62.41379310344828,11.89655172413793,59.13793103448276
"Dorchester
School District
Two","James H. Spann
Elementary School",1802010,"901 John McKissick
Way",Summerville,SC,29483,PK-5,580,843-873-3050,"https://www.ddtwo.org/SPANN
",Shane O. Sanford,47,NA,2017,E,51,17.8,55.400000000000006,16.5,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,0.8,NA,NA,671,306,365,242,353,NA,NA,NA,76,45.603576751117735,54.396423248882265,NA,36.0655737704918,52.6080476900149,11.326378539493295,NA
"Dorchester
School District
Two","James H. Spann
Elementary School",1802010,"901 John McKissick
Way",Summerville,SC,29483,PK-5,580,843-873-3050,"https://www.ddtwo.org/SPANN
",Shane O. Sanford,47,NA,2018,E,59.4,17.3,60.4,17.7,52.8,NA,22.5,7,85.9,57.1,9.7,50948,50,0,1.1,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dorchester
School District
Two","James H. Spann
Elementary School",1802010,"901 John McKissick
Way",Summerville,SC,29483,PK-5,580,843-873-3050,"https://www.ddtwo.org/SPANN
",Shane O. Sanford,47,NA,2019,E,66.7,12.3,63.8,13.4,68,NA,11.3,7,81.8,62.2,13.3,52262,70,0,0.8,15.9,NA,682,312,370,177,349,NA,0,429,156,45.74780058651026,54.252199413489734,0,25.95307917888563,51.17302052785924,22.87390029325513,62.903225806451616
"Dorchester
School District
Two","James H. Spann
Elementary School",1802010,"901 John McKissick
Way",Summerville,SC,29483,PK-5,580,843-873-3050,"https://www.ddtwo.org/SPANN
",Shane O. Sanford,47,NA,2021,E,45.1,28.4,43.4,29.3,47.8,NA,33.3,7,86,62.6865671641791,25.8,55591.8712195122,100,100,0.9,6.4,NA,586,276,310,161,289,NA,0,375,136,47.098976109215016,52.901023890784984,0,27.474402730375424,49.31740614334471,23.208191126279864,63.99317406143344
"Dorchester
School District
Two","James H. Spann
Elementary School",1802010,"901 John McKissick
Way",Summerville,SC,29483,PK-5,580,843-873-3050,"https://www.ddtwo.org/SPANN
",Shane O. Sanford,47,NA,2020,E,NA,NA,NA,NA,NA,NA,NA,NA,86.7,61.4,20,54320,100,83,1.5,13,NA,665,315,350,175,348,NA,0,414,142,47.368421052631575,52.63157894736842,0,26.31578947368421,52.33082706766917,21.353383458646615,62.255639097744364
"Dorchester
School District
Two",Alston Middle School,1802011,500 Bryan Street,Summerville,SC,29483,6-8,951,843-873-3890,https://www.ddtwo.org/AMS,"Dr. Michelle
Leviner",59,NA,2017,M,44.4,17.2,37,23.7,52.3,20.2,NA,7,NA,NA,NA,46910,NA,NA,1.1,NA,NA,783,364,419,312,389,NA,NA,NA,82,46.487867177522354,53.51213282247765,NA,39.84674329501915,49.68071519795657,10.472541507024266,NA
"Dorchester
School District
Two",Alston Middle School,1802011,500 Bryan Street,Summerville,SC,29483,6-8,951,843-873-3890,https://www.ddtwo.org/AMS,"Dr. Michelle
Leviner",59,NA,2018,M,43.1,20.5,38.6,25.9,51.3,NA,22.9,7,85,54.7,19.4,48157,25,0,0.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dorchester
School District
Two",Alston Middle School,1802011,500 Bryan Street,Summerville,SC,29483,6-8,951,843-873-3890,https://www.ddtwo.org/AMS,"Dr. Michelle
Leviner",59,NA,2019,M,50.2,20.2,39.1,25.8,51,NA,27.2,7,81.5,55.8,13.6,47893,48,0,2.2,12.9,NA,766,377,389,256,383,NA,0,472,127,49.21671018276763,50.78328981723238,0,33.420365535248045,50,16.57963446475196,61.61879895561357
"Dorchester
School District
Two",Alston Middle School,1802011,500 Bryan Street,Summerville,SC,29483,6-8,951,843-873-3890,https://www.ddtwo.org/AMS,"Dr. Michelle
Leviner",59,NA,2021,M,45.8,22.6,28.1,32.1,47.2,NA,30.3,7,87.6,43.3164128595601,25.9,49063.9582456141,100,100,1.1,11.7,NA,958,468,490,305,466,NA,0,579,187,48.8517745302714,51.1482254697286,0,31.83716075156576,48.643006263048015,19.51983298538622,60.43841336116911
"Dorchester
School District
Two",Alston Middle School,1802011,500 Bryan Street,Summerville,SC,29483,6-8,951,843-873-3890,https://www.ddtwo.org/AMS,"Dr. Michelle
Leviner",59,NA,2020,M,NA,NA,NA,NA,NA,NA,NA,NA,84.3,47.2,19,50074,95,0,0.8,18.1,NA,826,395,431,269,398,NA,0,537,159,47.82082324455206,52.17917675544794,0,32.56658595641647,48.18401937046005,19.249394673123486,65.01210653753027
"Dorchester
School District
Two","Rollings Middle School Of
The Arts",1802012,1635 Beech Hill Road,Summerville,SC,29485,6-8,774,843-873-3610,https://www.ddtwo.org/RMSA,Patrick Pye,46,NA,2017,M,84.9,2,78.4,4.4,86.5,2.1,NA,7,NA,NA,NA,53318,NA,NA,0,NA,NA,657,413,244,112,474,NA,NA,NA,71,62.86149162861492,37.13850837138508,NA,17.04718417047184,72.14611872146118,10.80669710806697,NA
"Dorchester
School District
Two","Rollings Middle School Of
The Arts",1802012,1635 Beech Hill Road,Summerville,SC,29485,6-8,774,843-873-3610,https://www.ddtwo.org/RMSA,Patrick Pye,46,NA,2018,M,85.2,3.2,81.5,3.1,87.1,NA,3.5,7,89.3,55,0,53128,50,0,0,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dorchester
School District
Two","Rollings Middle School Of
The Arts",1802012,1635 Beech Hill Road,Summerville,SC,29485,6-8,774,843-873-3610,https://www.ddtwo.org/RMSA,Patrick Pye,46,NA,2019,M,87.4,2.7,80.5,4.5,86.5,NA,2.1,7,87.5,58.5,0,54606,100,0,0,3.2,NA,691,460,231,100,483,NA,0,176,108,66.57018813314038,33.42981186685962,0,14.47178002894356,69.8986975397974,15.629522431259044,25.470332850940665
"Dorchester
School District
Two","Rollings Middle School Of
The Arts",1802012,1635 Beech Hill Road,Summerville,SC,29485,6-8,774,843-873-3610,https://www.ddtwo.org/RMSA,Patrick Pye,46,NA,2021,M,83.3,3.1,70.7,7.6,77.5,NA,8.7,7,89.4,56.8034557235421,5.3,56988.8742105263,100,100,0,2.2,NA,751,499,252,121,509,NA,0,200,121,66.44474034620505,33.55525965379494,0,16.11185086551265,67.7762982689747,16.11185086551265,26.63115845539281
"Dorchester
School District
Two","Rollings Middle School Of
The Arts",1802012,1635 Beech Hill Road,Summerville,SC,29485,6-8,774,843-873-3610,https://www.ddtwo.org/RMSA,Patrick Pye,46,NA,2020,M,NA,NA,NA,NA,NA,NA,NA,NA,86,60.5,5.6,55267,100,0,0.1,4.2,NA,731,500,231,119,496,NA,0,188,116,68.39945280437757,31.600547195622436,0,16.27906976744186,67.85225718194255,15.868673050615595,25.718194254445965
"Dorchester
School District
Two","Newington Elementary
School",1802013,"10 KING CHARLES
CIR",SUMMERVILLE,SC,29485,PK-5,709,8438713230,www.ddtwo.org/nes,Rachel Cubbage,53,NA,2017,E,52.1,16,65.80000000000001,10.2,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1.5,NA,NA,887,446,441,347,467,NA,NA,NA,73,50.28184892897407,49.71815107102593,NA,39.120631341600905,52.649379932356254,8.229988726042842,NA
"Dorchester
School District
Two","Newington Elementary
School",1802013,"10 KING CHARLES
CIR",SUMMERVILLE,SC,29485,PK-5,709,8438713230,www.ddtwo.org/nes,Rachel Cubbage,53,NA,2018,E,52,20.2,49.8,18.2,57.9,NA,11.9,7,87.5,50,22,48372,50,0,2.9,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dorchester
School District
Two","Newington Elementary
School",1802013,"10 KING CHARLES
CIR",SUMMERVILLE,SC,29485,PK-5,709,8438713230,www.ddtwo.org/nes,Rachel Cubbage,53,NA,2019,E,58.1,19.6,57.4,14.7,57.7,NA,21.9,7,81.8,50.9,17.9,49017,48,0,1.9,14.3,NA,852,407,445,243,462,NA,0,565,147,47.76995305164319,52.230046948356815,0,28.52112676056338,54.22535211267606,17.253521126760564,66.31455399061032
"Dorchester
School District
Two","Newington Elementary
School",1802013,"10 KING CHARLES
CIR",SUMMERVILLE,SC,29485,PK-5,709,8438713230,www.ddtwo.org/nes,Rachel Cubbage,53,NA,2021,E,49.7,27.7,44.7,32.9,47,NA,26,7,79.1,54.4090056285178,15.6,53814.9895652174,100,100,1.2,7,NA,706,329,377,199,370,NA,0,508,137,46.60056657223796,53.39943342776204,0,28.18696883852691,52.40793201133145,19.405099150141645,71.95467422096317
"Dorchester
School District
Two","Newington Elementary
School",1802013,"10 KING CHARLES
CIR",SUMMERVILLE,SC,29485,PK-5,709,8438713230,www.ddtwo.org/nes,Rachel Cubbage,53,NA,2020,E,NA,NA,NA,NA,NA,NA,NA,NA,82,56.9,13.9,52471,100,35,1.3,15.1,NA,837,383,454,220,454,NA,0,569,163,45.758661887694146,54.24133811230586,0,26.28434886499403,54.24133811230586,19.47431302270012,67.98088410991637
"Dorchester
School District
Two","Flowertown Elementary
School",1802014,20 King Charles Circle,Summerville,SC,29485,PK-5,755,843-871-7400,https://www.ddtwo.org/FES,Carey Ball Hodge,61,NA,2017,E,55.400000000000006,15,60.4,13,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,0.5,NA,NA,970,469,501,328,573,NA,NA,NA,69,48.350515463917525,51.64948453608248,NA,33.81443298969072,59.07216494845361,7.11340206185567,NA
"Dorchester
School District
Two","Flowertown Elementary
School",1802014,20 King Charles Circle,Summerville,SC,29485,PK-5,755,843-871-7400,https://www.ddtwo.org/FES,Carey Ball Hodge,61,NA,2018,E,51.3,17.8,51.3,22.1,41.3,NA,31,7,85,59,19,48615,50,0,0.7,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dorchester
School District
Two","Flowertown Elementary
School",1802014,20 King Charles Circle,Summerville,SC,29485,PK-5,755,843-871-7400,https://www.ddtwo.org/FES,Carey Ball Hodge,61,NA,2019,E,55.3,20.1,57.4,18.5,51.9,NA,21.2,7,81.8,54.1,25.6,49177,65,0,1.4,12.6,NA,950,454,496,269,563,NA,0,577,118,47.78947368421053,52.21052631578947,0,28.315789473684212,59.26315789473684,12.421052631578949,60.73684210526316
"Dorchester
School District
Two","Flowertown Elementary
School",1802014,20 King Charles Circle,Summerville,SC,29485,PK-5,755,843-871-7400,https://www.ddtwo.org/FES,Carey Ball Hodge,61,NA,2021,E,47.5,30.7,41.5,32.8,42.4,NA,35.6,7,89.4,55.0653594771242,28.2,52439.9454385965,100,100,0.8,9.3,NA,768,371,397,191,444,NA,0,472,133,48.30729166666667,51.692708333333336,0,24.869791666666664,57.8125,17.317708333333336,61.458333333333336
"Dorchester
School District
Two","Flowertown Elementary
School",1802014,20 King Charles Circle,Summerville,SC,29485,PK-5,755,843-871-7400,https://www.ddtwo.org/FES,Carey Ball Hodge,61,NA,2020,E,NA,NA,NA,NA,NA,NA,NA,NA,83.2,54.7,27.9,51349,84,0,1.5,14.4,NA,926,466,460,225,545,NA,0,566,156,50.323974082073434,49.676025917926566,0,24.29805615550756,58.855291576673864,16.846652267818573,61.12311015118791
"Dorchester
School District
Two","Charles Dubose Middle
School",1802016,"1005 DuBose School
Road",Summerville,SC,29483,6-8,1149,843-875-7012,https://www.ddtwo.org/DMS,Theodore Brinkley,68,NA,2017,M,47.7,18.6,43.3,18.6,55.5,19.2,NA,7,NA,NA,NA,47815,NA,NA,3.3,NA,NA,1255,589,666,322,797,NA,NA,NA,136,46.93227091633466,53.06772908366534,NA,25.657370517928285,63.505976095617534,10.836653386454183,NA
"Dorchester
School District
Two","Charles Dubose Middle
School",1802016,"1005 DuBose School
Road",Summerville,SC,29483,6-8,1149,843-875-7012,https://www.ddtwo.org/DMS,Theodore Brinkley,68,NA,2018,M,47.1,18.8,44.7,20.6,51.9,NA,22.2,7,83.2,52.2,25.5,48393,50,0,1.4,25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dorchester
School District
Two","Charles Dubose Middle
School",1802016,"1005 DuBose School
Road",Summerville,SC,29483,6-8,1149,843-875-7012,https://www.ddtwo.org/DMS,Theodore Brinkley,68,NA,2019,M,49.1,20.3,42.2,25.5,49.8,NA,26.7,7,82.2,55.6,13.5,48813,61,0,1.3,16.6,NA,1312,624,688,268,825,NA,0,675,219,47.5609756097561,52.4390243902439,0,20.426829268292682,62.881097560975604,16.692073170731707,51.44817073170732
"Dorchester
School District
Two","Charles Dubose Middle
School",1802016,"1005 DuBose School
Road",Summerville,SC,29483,6-8,1149,843-875-7012,https://www.ddtwo.org/DMS,Theodore Brinkley,68,NA,2021,M,46.2,22.5,30.6,35.8,43.8,NA,33.4,7,78.7,63.2352941176471,20,52775.3364,100,100,0.7,11,NA,1154,541,613,244,706,NA,0,600,204,46.88041594454073,53.11958405545927,0,21.143847487001732,61.178509532062385,17.677642980935875,51.99306759098788
"Dorchester
School District
Two","Charles Dubose Middle
School",1802016,"1005 DuBose School
Road",Summerville,SC,29483,6-8,1149,843-875-7012,https://www.ddtwo.org/DMS,Theodore Brinkley,68,NA,2020,M,NA,NA,NA,NA,NA,NA,NA,NA,77.8,56.9,17.6,51020,100,10,2.1,20.4,NA,1299,611,688,285,779,NA,0,685,235,47.036181678214014,52.96381832178599,0,21.939953810623557,59.96920708237106,18.090839107005387,52.732871439568896
"Dorchester
School District
Two","Oakbrook Elementary
School",1802017,306 Old Fort Drive,Ladson,SC,29456,PK-5,618,843-821-1165,https://www.ddtwo.org/Domain/969,Kimberly Boutin,43,NA,2017,E,49.7,15.3,61.8,12.5,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1.2,NA,NA,709,339,370,279,356,NA,NA,NA,74,47.81382228490832,52.186177715091674,NA,39.35119887165021,50.21156558533145,10.437235543018335,NA
"Dorchester
School District
Two","Oakbrook Elementary
School",1802017,306 Old Fort Drive,Ladson,SC,29456,PK-5,618,843-821-1165,https://www.ddtwo.org/Domain/969,Kimberly Boutin,43,NA,2018,E,46.4,20.8,56.1,21.7,44.1,NA,25.4,7,84.2,50,20,49054,50,0,0.9,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dorchester
School District
Two","Oakbrook Elementary
School",1802017,306 Old Fort Drive,Ladson,SC,29456,PK-5,618,843-821-1165,https://www.ddtwo.org/Domain/969,Kimberly Boutin,43,NA,2019,E,55.2,22,49,19.4,49.5,NA,26.2,7,78.6,57.1,12.9,49832,73,20,0.6,10.8,NA,707,358,349,260,331,NA,0,408,116,50.636492220650645,49.36350777934936,0,36.77510608203677,46.81753889674682,16.407355021216407,57.708628005657715
"Dorchester
School District
Two","Oakbrook Elementary
School",1802017,306 Old Fort Drive,Ladson,SC,29456,PK-5,618,843-821-1165,https://www.ddtwo.org/Domain/969,Kimberly Boutin,43,NA,2021,E,39.9,32.5,35.1,40,38.5,NA,41.8,7,84.8,53.2407407407407,16.1,52581.6866666667,100,100,0.3,5.2,NA,626,313,313,259,237,NA,0,410,130,50,50,0,41.373801916932905,37.85942492012779,20.766773162939298,65.49520766773162
"Dorchester
School District
Two","Oakbrook Elementary
School",1802017,306 Old Fort Drive,Ladson,SC,29456,PK-5,618,843-821-1165,https://www.ddtwo.org/Domain/969,Kimberly Boutin,43,NA,2020,E,NA,NA,NA,NA,NA,NA,NA,NA,81.7,52.5,20,50691,100,54,0.2,11.7,NA,662,332,330,256,287,NA,0,387,119,50.15105740181269,49.848942598187314,0,38.670694864048336,43.353474320241695,17.97583081570997,58.45921450151057
"Dorchester
School District
Two",Oakbrook Middle School,1802018,113 Musket Loop,Summerville,SC,29483,6-8,1168,8433237146,https://www.ddtwo.org/OMS,Matthew Legare,71,NA,2017,M,41.5,18.7,44.4,20.8,53.3,19.2,NA,7,NA,NA,NA,48035,NA,NA,0.6,NA,NA,1077,496,581,419,506,NA,NA,NA,152,46.05385329619313,53.946146703806875,NA,38.90436397400185,46.982358402971215,14.113277623026926,NA
"Dorchester
School District
Two",Oakbrook Middle School,1802018,113 Musket Loop,Summerville,SC,29483,6-8,1168,8433237146,https://www.ddtwo.org/OMS,Matthew Legare,71,NA,2018,M,45.3,19.3,48.7,21.9,54.3,NA,16.2,7,83.6,55.6,17.5,47712,50,0,0.6,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dorchester
School District
Two",Oakbrook Middle School,1802018,113 Musket Loop,Summerville,SC,29483,6-8,1168,8433237146,https://www.ddtwo.org/OMS,Matthew Legare,71,NA,2019,M,49.5,19.2,41.9,24.3,51.6,NA,25,7,84.7,57.6,15.6,48753,61,0,0.6,12.3,NA,1143,534,609,405,485,NA,0,587,253,46.71916010498688,53.28083989501312,0,35.43307086614173,42.43219597550306,22.134733158355203,51.35608048993876
"Dorchester
School District
Two",Oakbrook Middle School,1802018,113 Musket Loop,Summerville,SC,29483,6-8,1168,8433237146,https://www.ddtwo.org/OMS,Matthew Legare,71,NA,2021,M,40.3,27.4,25.2,39.7,36.4,NA,47.3,7,85.7,56.0906515580737,27.6,50801.3337931034,100,100,0.8,9.4,NA,1206,551,655,448,497,NA,0,703,261,45.68822553897181,54.31177446102819,0,37.147595356550575,41.2106135986733,21.641791044776117,58.29187396351575
"Dorchester
School District
Two",Oakbrook Middle School,1802018,113 Musket Loop,Summerville,SC,29483,6-8,1168,8433237146,https://www.ddtwo.org/OMS,Matthew Legare,71,NA,2020,M,NA,NA,NA,NA,NA,NA,NA,NA,87.9,58,21.9,49947,61,0,0.8,12.4,NA,1163,512,651,426,493,NA,0,637,244,44.02407566638005,55.97592433361995,0,36.62940670679278,42.39036973344798,20.980223559759242,54.77214101461737
"Dorchester
School District
Two","Windsor Hill Arts Infused
Elementary",1802019,"8600 William Moultrie
Drive",North Charleston,SC,29420,PK-5,664,843-760-9820,https://www.ddtwo.org/WHAIES,Robert Neuner,60,NA,2017,E,43.4,24.2,49.8,18.7,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1.1,NA,NA,920,428,492,558,225,NA,NA,NA,137,46.52173913043478,53.47826086956522,NA,60.652173913043484,24.456521739130434,14.891304347826088,NA
"Dorchester
School District
Two","Windsor Hill Arts Infused
Elementary",1802019,"8600 William Moultrie
Drive",North Charleston,SC,29420,PK-5,664,843-760-9820,https://www.ddtwo.org/WHAIES,Robert Neuner,60,NA,2018,E,53.2,18.5,54.5,17,46.6,NA,17.6,7,87.9,60.6,31.8,48408,100,3,1.7,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dorchester
School District
Two","Windsor Hill Arts Infused
Elementary",1802019,"8600 William Moultrie
Drive",North Charleston,SC,29420,PK-5,664,843-760-9820,https://www.ddtwo.org/WHAIES,Robert Neuner,60,NA,2019,E,55.4,20.3,46.7,21.8,55,NA,19.8,7,79.4,56.3,35.9,48136,53,1,0.8,10,NA,822,400,422,431,218,NA,0,603,173,48.661800486618006,51.338199513382,0,52.433090024330895,26.520681265206814,21.046228710462287,73.35766423357664
"Dorchester
School District
Two","Windsor Hill Arts Infused
Elementary",1802019,"8600 William Moultrie
Drive",North Charleston,SC,29420,PK-5,664,843-760-9820,https://www.ddtwo.org/WHAIES,Robert Neuner,60,NA,2021,E,36.7,31.3,29.5,44.8,34.4,NA,45.6,7,75.1,50.3355704697987,31.4,52098.74125,100,100,1.3,7.3,NA,682,336,346,349,153,NA,0,517,180,49.266862170087975,50.733137829912025,0,51.17302052785924,22.434017595307918,26.392961876832842,75.80645161290323
"Dorchester
School District
Two","Windsor Hill Arts Infused
Elementary",1802019,"8600 William Moultrie
Drive",North Charleston,SC,29420,PK-5,664,843-760-9820,https://www.ddtwo.org/WHAIES,Robert Neuner,60,NA,2020,E,NA,NA,NA,NA,NA,NA,NA,NA,75.8,50,26.3,51475,100,0,1.5,13.1,NA,805,395,410,424,198,NA,0,610,183,49.06832298136646,50.931677018633536,0,52.670807453416145,24.596273291925467,22.732919254658384,75.77639751552795
"Dorchester
School District
Two","Fort Dorchester High
School",1802020,8500 Patriot Blvd,North Charleston,SC,29420,9-12,2237,843-760-4450,https://www.ddtwo.org/FDHS,"Raymond J.
""Tripp"" Aldredge,
III",125,NA,2017,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49084,NA,NA,3.3,NA,85.837651123,2218,1089,1129,1037,858,NA,NA,NA,323,49.09828674481515,50.90171325518485,NA,46.75383228133453,38.68349864743011,14.562669071235348,NA
"Dorchester
School District
Two","Fort Dorchester High
School",1802020,8500 Patriot Blvd,North Charleston,SC,29420,9-12,2237,843-760-4450,https://www.ddtwo.org/FDHS,"Raymond J.
""Tripp"" Aldredge,
III",125,NA,2018,H,NA,NA,NA,NA,NA,NA,NA,NA,86.6,60,25,49257,50,0,2.1,1,88.56152513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dorchester
School District
Two","Fort Dorchester High
School",1802020,8500 Patriot Blvd,North Charleston,SC,29420,9-12,2237,843-760-4450,https://www.ddtwo.org/FDHS,"Raymond J.
""Tripp"" Aldredge,
III",125,NA,2019,H,NA,NA,NA,NA,NA,NA,NA,NA,80.4,61.1,19,49455,81,0,2.5,15.2,91.829484902,2201,1105,1096,983,788,NA,0,1030,430,50.2044525215811,49.7955474784189,0,44.66151749204907,35.80190822353476,19.536574284416176,46.79691049522944
"Dorchester
School District
Two","Fort Dorchester High
School",1802020,8500 Patriot Blvd,North Charleston,SC,29420,9-12,2237,843-760-4450,https://www.ddtwo.org/FDHS,"Raymond J.
""Tripp"" Aldredge,
III",125,NA,2020,H,NA,NA,NA,NA,NA,NA,NA,NA,82.8,56.3,20,52501,100,0,2.3,20.7,93.525179856,2182,1081,1101,928,758,NA,0,1048,496,49.5417048579285,50.4582951420715,0,42.529789184234644,34.73877176901925,22.731439046746104,48.02933088909258
"Dorchester
School District
Two","Fort Dorchester High
School",1802020,8500 Patriot Blvd,North Charleston,SC,29420,9-12,2237,843-760-4450,https://www.ddtwo.org/FDHS,"Raymond J.
""Tripp"" Aldredge,
III",125,NA,2021,H,NA,NA,NA,NA,NA,NA,NA,NA,83.2,58.5326953748006,13.2,53610.6888288288,100,100,1.7,13.1,92.280071813,2170,1053,1117,892,708,NA,0,1090,570,48.525345622119815,51.47465437788018,0,41.10599078341014,32.62672811059908,26.26728110599078,50.23041474654379
"Dorchester
School District
Two","Beech Hill Elementary
School",1802021,1001 Beech Hill Road,Summerville,SC,29485,PK-5,890,843-821-3970,https://www.ddtwo.org/BHES,Rene Wyatt Harris,59,NA,2017,E,73.69999999999999,6.4,74.9,5.8,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,0.8,NA,NA,977,484,493,144,752,NA,NA,NA,81,49.53940634595701,50.46059365404298,NA,14.73899692937564,76.97031729785057,8.290685772773797,NA
"Dorchester
School District
Two","Beech Hill Elementary
School",1802021,1001 Beech Hill Road,Summerville,SC,29485,PK-5,890,843-821-3970,https://www.ddtwo.org/BHES,Rene Wyatt Harris,59,NA,2018,E,75.1,5.5,78.2,5.5,77.9,NA,4.5,7,83,57.9,7.7,50818,50,0,0.5,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dorchester
School District
Two","Beech Hill Elementary
School",1802021,1001 Beech Hill Road,Summerville,SC,29485,PK-5,890,843-821-3970,https://www.ddtwo.org/BHES,Rene Wyatt Harris,59,NA,2019,E,77.1,7.5,77.3,4.5,77.7,NA,7,7,86.2,57.9,2.6,52641,62,0,0.8,6.1,NA,961,464,497,103,732,NA,0,303,126,48.283038501560874,51.716961498439126,0,10.718002081165452,76.17065556711758,13.111342351716962,31.529656607700314
"Dorchester
School District
Two","Beech Hill Elementary
School",1802021,1001 Beech Hill Road,Summerville,SC,29485,PK-5,890,843-821-3970,https://www.ddtwo.org/BHES,Rene Wyatt Harris,59,NA,2021,E,71.7,6,67.3,11.4,79.7,NA,5.8,7,92,47.7234401349072,7.5,54893.2870588235,100,100,0.7,3.2,NA,909,439,470,98,660,NA,0,265,151,48.294829482948295,51.7051705170517,0,10.78107810781078,72.60726072607261,16.611661166116612,29.15291529152915
"Dorchester
School District
Two","Beech Hill Elementary
School",1802021,1001 Beech Hill Road,Summerville,SC,29485,PK-5,890,843-821-3970,https://www.ddtwo.org/BHES,Rene Wyatt Harris,59,NA,2020,E,NA,NA,NA,NA,NA,NA,NA,NA,90.6,53.3,5,55179,96,15,1.1,5.2,NA,977,469,508,103,733,NA,0,290,141,48.00409416581372,51.99590583418628,0,10.542476970317297,75.02558853633572,14.431934493346981,29.682702149437052
"Dorchester
School District
Two",Gregg Middle School,1802022,500 Greenwave Blvd,Summerville,SC,29483,6-8,1212,843-871-3150,https://www.ddtwo.org/gms,William Wilson,71,NA,2017,M,43.099999999999994,20.8,49.7,19.2,56.5,22,NA,7,NA,NA,NA,49970,NA,NA,2.6,NA,NA,1257,544,713,369,797,NA,NA,NA,91,43.27764518695306,56.72235481304694,NA,29.355608591885442,63.40493237867939,7.239459029435164,NA
"Dorchester
School District
Two",Gregg Middle School,1802022,500 Greenwave Blvd,Summerville,SC,29483,6-8,1212,843-871-3150,https://www.ddtwo.org/gms,William Wilson,71,NA,2018,M,50.4,18.4,51.4,19.9,58.9,NA,20.2,7,87,43.7,23.1,50477,50,0,1.2,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
