district,district_alt,district_id,school,school_id,type,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,type_special
"Charleston
County School
District",Charleston 01,1001999,Pinehurst Elementary,1001112,E,7753 Northside Dr,North Charleton,SC,29420,1-5,723,843-824-8728,ccsdschools.com/Domain/77,Dianne Benton,54,NA
"Charleston
County School
District",Charleston 01,1001999,"Montessori Community
School",1001113,E,2122 Wood Avenue,Charleston,SC,29414,PK-8,270,843-769-0346,montessori.ccsdschools.com,Kimberly Hay,16,NA
"Charleston
County School
District",Charleston 01,1001999,"North Charleston Creative
Arts Elementary",1001114,E,"5200 Lackawanna
Blvd",North Charleston,SC,29405,PK-5,509,8435292831,https://www.ccsdschools.com/northcca,Rob Grant,44,NA
"Charleston
County School
District",Charleston 01,1001999,Simmons Pinckney Middle,1001115,M,244 President St,Charleston,SC,29403,6-8,264,843-724-7789,https://www.ccsdschools.com/simmonspinckney,Stephanie Spann,27,NA
"Charleston
County School
District",Charleston 01,1001999,Deer Park Middle,1001116,M,2263 Otranto Road,North Charleston,SC,29406,6-8,413,843-990-5200,https://www.ccsdschools.com/deerpark,Shanitra Deas,32,NA
"Charleston
County School
District",Charleston 01,1001999,Carolina Park Elementary,1001117,E,3650 Park Ave. Blvd.,Mount Pleasant,SC,29466,K-5,876,843-856-8060,https://www.ccsdschools.com/carolinapark,Michael Antonelli,58,NA
"Charleston
County School
District",Charleston 01,1001999,Camp Road Middle,1001118,M,1825 Camp Road,Charleston,SC,29412,6-8,799,843-762-2784,https://www.ccsdschools.com/camproad,Sharon Randall,50,NA
"Charleston
County School
District",Charleston 01,1001999,Lucy Garrett Beckham High,1001121,H,"1560 Mathis Ferry
Road",Mount Pleasant,SC,29466,9-10,738,843-953-2900,https://www.ccsdschools.com/lucybeckham,Anna Dassing,44,NA
"Charleston
County School
District",Charleston 01,1001999,Meeting Street Elementary,1001200,E,3750 Dorchester Road,North Charleston,SC,29405,PK-7,1021,843-745-7113,"https://www.ccsdschools.com/mse-burns &
https://www.ccsdschools.com/mse-brentwood",Chad Weiden,107,NA
"Charleston
County School
District",Charleston 01,1001999,"Charleston Development
Academy",1001612,E,"233 Line Street / 165
St. Philip Street",Charleston,SC,29403,PK-8,168,843-724-1030,https://www.ccsdschools.com/developmentacademy,Shawn Johnson,14,charter
"Charleston
County School
District",Charleston 01,1001999,"East Cooper Montessori
Charter",1001614,E,1120 Rifle Range Rd.,Mount Pleasant,SC,29464,PK-8,405,843-216-2883,montessoricharterschool.com,Jody Swanigan,32,charter
"Charleston
County School
District",Charleston 01,1001999,Greg Mathis Charter High,1001615,H,"2872 Azalea Drive
",North Charleston,SC,29405,9-12,71,843-557-1611,https://www.ccsdschools.com/gmchs,"Ms. Natrice
Henriques",6,charter
"Charleston
County School
District",Charleston 01,1001999,James Island Charter High,1001616,H,1000 Ft. Johnson Rd.,Charleston,SC,29412,9-12,1580,843-762-2754,www.ccsdschools.com/jichs,Timothy Thorn,106,charter
"Charleston
County School
District",Charleston 01,1001999,"Orange Grove Charter
School",1001618,E,"1225 Orange Branch
Rd",Charleston,SC,29407,PK-8,1170,843-763-1520,orangegrovecharter.com,"John H.
Clendaniel",69,charter
"Charleston
County School
District",Charleston 01,1001999,"Charleston Charter School
For Math And Science",1001620,H,1002 King Street,Charleston,SC,29403,6-12,561,843-720-3085,https://charlestonmathscience.org/,Mary Carmichael,46,charter
"Charleston
County School
District",Charleston 01,1001999,"Pattison's Academy For
Comprehensive Education",1001628,E,721 Wappoo Rd.,Charleston,SC,29407,K-12,39,843-402-7850,www.pattisonsacademy.org,Laura Del Duca,6,charter
"Charleston
County School
District",Charleston 01,1001999,Carolina Voyager Charter,1001629,E,721 Wappoo Road,Charleston,SC,29407,K-8,380,843-203-3891,https://www.carolinavoyager.org/,Dr. Harry Walker,23,charter
"Charleston
County School
District",Charleston 01,1001999,"Allegro Charter School Of
Music",1001630,H,2731 Gordon St,North Charleston,SC,29405,6-12,201,843-297-8033,http://allegro.ccsdschools.com/,Daniel Neikirk,22,charter
"Cherokee
County School
District 1",Cherokee 01,1101999,Blacksburg High School,1101001,H,201 W Ramseur Drive,Blacksburg,SC,29702,9-12,534,(864) 206-2378,bhs.cherokee1.org,Hunter Jolley,37,NA
"Cherokee
County School
District 1",Cherokee 01,1101999,"John E. Ewing Middle
School",1101002,M,"171 E. Junior High
Road",Gaffney,SC,29340,6-8,513,864-206-2449,https://ems.cherokee1.org/,Michael Mullinax,32,NA
"Cherokee
County School
District 1",Cherokee 01,1101999,Gaffney High School,1101003,H,149 Twin Lake Rd,Gaffney,SC,29341,9-12,1818,864-206-2000,ghs.cherokee1.org,Erik Gerstenacker,109,NA
"Cherokee
County School
District 1",Cherokee 01,1101999,Alma Elementary School,1101005,E,213 Alma Street,Gaffney,SC,29340,PK-5,161,(864) 206-6482,aes.cherokee1.org,Mrs. Tracy Allison,16,NA
"Cherokee
County School
District 1",Cherokee 01,1101999,Blacksburg Middle School,1101007,M,101 London Street,Blacksburg,SC,29702,6-8,409,864-206-6829,bms.cherokee1.org,Melody Bradley,26,NA
"Cherokee
County School
District 1",Cherokee 01,1101999,Corinth Elementary School,1101009,E,128 Corinth Road,Gaffney,SC,29340,PK-5,329,(864) 206-6600,ces.cherokee1.org,"Mrs. Brenda
Sharts",27,NA
"Cherokee
County School
District 1",Cherokee 01,1101999,"Draytonville Elementary
School",1101010,E,"2373 Wilkinsville
Highway",Gaffney,SC,29340,PK-5,184,864-206-6783,https://des.cherokee1.org/,Isaac Wallace,15,NA
"Cherokee
County School
District 1",Cherokee 01,1101999,"Mary Bramlett Elementary
School",1101011,E,301 Spruce St,Gaffney,SC,29340,PK-5,209,8642062520,mbe.cherokee1.org,Tanya Roberts,22,NA
"Cherokee
County School
District 1",Cherokee 01,1101999,"Goucher Elementary
School",1101012,E,"604 GOUCHER
SCHOOL RD",Gaffney,SC,29340,PK-5,223,8642066890,ges.cherokee1.org,"Karen W.
Henderson",16,NA
"Cherokee
County School
District 1",Cherokee 01,1101999,"B. D. Lee Elementary
School",1101015,E,504 Overbrook Drive,Gaffney,SC,29341,PK-5,340,864-206-6432,https://bdl.cherokee1.org/,"Dr. Sharon
Jefferies",26,NA
"Cherokee
County School
District 1",Cherokee 01,1101999,"Luther Vaughan
Elementary",1101019,E,192 Vaughan Road,Gaffney,SC,29341,PK-5,322,8642066054,https://lve.cherokee1.org/,Loretta A. Holmes,27,NA
"Cherokee
County School
District 1",Cherokee 01,1101999,"Blacksburg Elementary
School",1101020,E,402 Hardin Street,Blacksburg,SC,29702,3-5,322,864-206-6518,https://bes.cherokee1.org/,Shelton Clinton,23,NA
"Cherokee
County School
District 1",Cherokee 01,1101999,"Limestone Central
Elementary School",1101021,E,727 Pacolet Hwy.,Gaffney,SC,29340,PK-5,327,864-206-6620,https://lce.cherokee1.org/,Bryan Hullender,26,NA
"Cherokee
County School
District 1",Cherokee 01,1101999,Grassy Pond Elementary,1101022,E,"1146 Boiling Springs
Hwy",Gaffney,SC,29341,PK-5,415,8642066671,gpe.cherokee1.org,Ginger Lipscomb,33,NA
"Cherokee
County School
District 1",Cherokee 01,1101999,"Northwest Eelemntary
School",1101023,E,840 Green River Road,Gaffney,SC,29341,PK-5,385,864-206-6727,"
https://nwe.cherokee1.org
",Kathy Phillips,34,NA
"Cherokee
County School
District 1",Cherokee 01,1101999,Gaffney Middle School,1101024,M,"805 East Frederick
Street",Gaffney,SC,29340,6-8,1034,864-206-6129,https://gms.cherokee1.org/,Dr. Eric G. Blanton,66,NA
"Chester County
School District",Chester 01,1201999,Chester High School,1201002,H,"1330 JA Cochran By
Pass",Chester,SC,29706,9-12,784,803-377-3161,https://www.chester.k12.sc.us/chesterhigh,"Duane Fitzgerald
Graham",48,NA
"Chester County
School District",Chester 01,1201999,Chester Middle School,1201004,M,"1014 McCandless
Road",Chester,SC,29706,6-8,585,8033778192,https://www.chester.k12.sc.us/Domain/11,Sheka Houston,43,NA
"Chester County
School District",Chester 01,1201999,Great Falls High School,1201005,H,411 Sunset Avenue,Great Falls,SC,29055,6-12,388,803-482-2210,http://www.chester.k12.sc.us/greatfallshigh,Dr. Jamal Sanders,30,NA
"Chester County
School District",Chester 01,1201999,Lewisville High School,1201006,H,"3971 Lewisville High
School Road",Richburg,SC,29729,9-12,386,803-789-5131,https://www.chester.k12.sc.us/Domain/18,Tammy E. Snipes,25,NA
"Chester County
School District",Chester 01,1201999,Lewisville Middle School,1201008,M,3595 Lancaster Hwy,Richburg,SC,29729,5-8,421,803-789-5858,https://www.chester.k12.sc.us/lewisvillemiddle,Brian A. Edmond,24,NA
"Chester County
School District",Chester 01,1201999,"Great Falls Elementary
School",1201011,E,301 Dearborn Street,Great Falls,SC,29055,PK-5,320,8034822214,https://www.chester.k12.sc.us/Domain/8,Tammy Taylor,25,NA
"Chester County
School District",Chester 01,1201999,"Lewisville Elementary
School",1201014,E,"4006 Lewisville High
School Rd",Richburg,SC,29706,PK-4,493,803-789-5164,https://www.chester.k12.sc.us/Domain/9,Anne Stone,36,NA
"Chester County
School District",Chester 01,1201999,"Chester Park Elementary
School Of Inquiry",1201018,E,"835 Lancaster
Highway",Chester,SC,29706,PK-5,409,8035817282,https://www.chester.k12.sc.us/chesterparkinquiry,Robin K. Taylor,32,NA
"Chester County
School District",Chester 01,1201999,"Chester Park Elementary
School Of The Arts",1201020,E,835-A Lancaster Hwy,Chester,SC,29706,PK-5,356,803-581-7279,https://www.chester.k12.sc.us/Domain/14,Shana Harper,33,NA
"Chester County
School District",Chester 01,1201999,"Chester Park Center Of
Literacy Through
Technology",1201021,E,"835B Lancaster
Highway",Chester,SC,29706,PK-5,372,803-581-7275,https://www.chester.k12.sc.us/Domain/12,Walter Jones,29,NA
"Chester County
School District",Chester 01,1201999,"The Academy For
Teaching And Learning",1201601,E,109 Hinton Street,Chester,SC,29706,K-8,346,803-385-6334,atlchester.com,"Mary Ann Dawkins
and Robyn
Caldwell",26,charter
"Chesterfield
County School
District",Chesterfield 01,1301999,Cheraw High School,1301001,H,"649 Chesterfield
Highway",Cheraw,SC,29520,9-12,624,8439211000,https://chs.chesterfieldschools.org/,"Dr. Jason R.
Bryant",48,NA
"Chesterfield
County School
District",Chesterfield 01,1301999,Chesterfield High School,1301002,H,401 N. Page St.,Chesterfield,SC,29709,9-12,441,843-623-2161,https://cfh.chesterfieldschools.org/,Neil Adams,32,NA
"Chesterfield
County School
District",Chesterfield 01,1301999,Long Middle School,1301005,M,"1010 West Greene
Street",Cheraw,SC,29520,6-8,459,843-921-1010,https://lms.chesterfieldschools.org/,"Karen Sharper
Ellerbe",31,NA
"Chesterfield
County School
District",Chesterfield 01,1301999,Mcbee High School,1301006,H,264 East Pine Avenue,McBee,SC,29101,6-12,518,843-335-8251,https://mhs.chesterfieldschools.org/,"Dr. Josh McLaurin
Ed.D, NBCT",31,NA
"Chesterfield
County School
District",Chesterfield 01,1301999,Central High School,1301007,H,200 Zion Church Road,Pageland,SC,29728,9-12,601,"843-672-6116
",http://cnh.chesterfieldschools.org,Damon L. Barnhill,42,NA
"Chesterfield
County School
District",Chesterfield 01,1301999,New Heights Middle School,1301008,M,5738 Highway 151,"Jefferson, SC",SC,29718,6-8,525,843-658-6830,https://nhms.chesterfieldschools.org/,Dr. Omoro King,33,NA
"Chesterfield
County School
District",Chesterfield 01,1301999,"Edwards Elementary
School",1301014,E,2411 West Blvd.,Chesterfield,SC,29709,PK-5,510,843-623-2351,833-211-9595,Beth K. Suggs,35,NA
"Chesterfield
County School
District",Chesterfield 01,1301999,"Jefferson Elementary
School",1301015,E,"809 West Elizabeth
Street","Jefferson, SC",SC,29718,PK-5,339,843-658-3295,https://jes.chesterfieldschools.org/,Dr. Jason McGuire,26,NA
"Chesterfield
County School
District",Chesterfield 01,1301999,Mcbee Elementary,1301020,E,"284 East Maple
Avenue",McBee,SC,29101,PK-6,338,843-335-8347,https://mes.chesterfieldschools.org/,Angela H. Demby,29,NA
"Chesterfield
County School
District",Chesterfield 01,1301999,"Plainview Elementary
School",1301021,E,"16002 Hwy 102
",Patrick,SC,29584,PK-6,168,843-498-6633,https://pve.chesterfieldschools.org/,Lauren Watson,10,NA
"Chesterfield
County School
District",Chesterfield 01,1301999,Ruby Elementary School,1301023,E,249 Thurman Ave.,Ruby,SC,29741,PK-5,265,843-634-6310,res@chesterfieldschools.org,Caroline K. Miles,14,NA
"Chesterfield
County School
District",Chesterfield 01,1301999,"Cheraw Intermediate
School",1301026,E,"421 CHESTERFIELD
HWY",CHERAW,SC,29520,3-5,437,843-921-1030,https://cis.chesterfieldschools.org/,Scott Eddins,29,NA
"Chesterfield
County School
District",Chesterfield 01,1301999,Pageland Elementary,1301027,E,"715 West McGregor
Street",Pageland,SC,29728,3-5,360,843-672-2400,https://pes.chesterfieldschools.org/,Ellen Middleton,24,NA
"Chesterfield
County School
District",Chesterfield 01,1301999,"Chesterfield-Ruby Middle
School",1301028,M,14445 Hwy. 9,Chesterfield,SC,29709,6-8,421,843-623-9401,https://crms.chesterfieldschools.org/,Travis Rivers,23,NA
Clarendon 1,Clarendon 01,1401999,Scott's Branch High,1401001,H,9253 Alex Harvin Hwy.,Summerton,SC,29148,9-12,208,803-574-2100,clarendon-sbhs.ss14.sharpschool.com,"Dr. Nathaniel
Nelson",15,NA
Clarendon 1,Clarendon 01,1401999,"Dr. Rose H.Wilder
Elementary",1401005,E,9297 Alex Harvin Hwy,"Summerton, SC",SC,29148,3-5,137,803-574-2150,http://clarendon-spes.ss14.sharpschool.com/,Joaquin Brown,14,NA
Clarendon 1,Clarendon 01,1401999,Scott's Branch Middle,1401020,M,"9253 Alex Harvin
Highway",Summerton,SC,29148,6-8,163,803-574-2100,http://clarendon-sbhs.ss14.sharpschool.com/,Corey Burgess,8,NA
"Clarendon
School District
Two",Clarendon 02,1402999,Manning High School,1402007,H,2155 Paxville Highway,Manning,SC,29102,9-12,832,803-435-4417,https://www.clarendon2.k12.sc.us,"Patricia
Moultrie-Goldsmith",42,NA
"Clarendon
School District
Two",Clarendon 02,1402999,Manning Jr. High School,1402011,M,"1101 W. L. Hamilton
Road",Manning,SC,29102,7-8,426,803-435-8195,www.clarendon2.k12.sc.us,Terrie T. Ard,23,NA
"Clarendon
School District
Two",Clarendon 02,1402999,"Manning Elementary
School",1402013,E,311 West Boyce Street,Manning,SC,29102,4-6,576,803-435-5066,www.clarendon2.k12.sc.us.,Allyson H Goff,31,NA
Clarendon 3,Clarendon 03,1403999,"East Clarendon Middle /
High School",1403016,H,1101 Pope Street,Turbeville,SC,29162,6-12,701,843-659-2185,eastclarendon.org,Jason Cook,39,NA
Clarendon 3,Clarendon 03,1403999,"Walker Gamble Elementary
School",1403019,E,"2358 Walker Gamble
Road","New Zion, SC",SC,29111,PK-5,535,843-659-2102,www.walkergamble.com,Allen Kirby,39,NA
"Colleton County
School District",Colleton 01,1501999,"Colleton County High
School",1501005,H,"150 Cougar Nation
Drive",Walterboro,SC,29488,9-12,1442,843-782-0031,cchs.colleton.k12.sc.us,"Maurice D.
Cannon, Sr.",87,NA
"Colleton County
School District",Colleton 01,1501999,Bells Elementary School,1501006,E,12088 Bells Hwy,Ruffin,SC,29475,PK-5,333,843-782-0012,bes.colleton.k12.sc.us,Amy Liebenrood,22,NA
"Colleton County
School District",Colleton 01,1501999,"Cottageville Elementary
School",1501011,E,648 Peirce Road,Cottageville,SC,29435,PK-5,473,843-782-4528,https://ces.colleton.k12.sc.us/,Janis Headden,32,NA
"Colleton County
School District",Colleton 01,1501999,"Forest Hills Elementary
School",1501012,E,"633 Hiers Corner
Road",Walterboro,SC,29488,1-5,487,843-782-4512,http://fhecolleton.ss19.sharpschool.com/,Wilsey Hamilton,34,NA
"Colleton County
School District",Colleton 01,1501999,"Northside Elementary
School",1501020,E,1929 Industrial Road,Walterboro,SC,29488,1-5,474,843-782-0015,https://nes.colleton.k12.sc.us/,"Catherine
Fanchette",34,NA
"Colleton County
School District",Colleton 01,1501999,"Hendersonville Elementary
School",1501021,E,"6089 Hendersonville
Hwy",Walterboro,SC,29488,PK-5,327,843-782-0027,https://hes.colleton.k12.sc.us/,"Dr. Joseph
Hollington",20,NA
"Colleton County
School District",Colleton 01,1501999,"Colleton County Middle
School",1501022,M,"1379 Tuskegee
Airmen Drive",Walterboro,SC,29488,6-8,1276,843-782-0040,https://ccms.colleton.k12.sc.us/,"Mrs. Lauren E
Behie",64,NA
"Darlington
County School
District",Darlington 01,1601999,Hartsville Middle School,1601004,M,"1427 Fourteenth
Street",Hartsville,SC,29550,6-8,983,8438573000,http://hms.dcsdschools.org/,Brian Hickman,67,NA
"Darlington
County School
District",Darlington 01,1601999,Hartsville High School,1601005,H,701 Lewellyn Ave.,Hartsville,SC,29550,9-12,1157,8438573700,http://hhs.dcsdschools.org/,Corey Lewis,73,NA
"Darlington
County School
District",Darlington 01,1601999,Lamar High School,1601006,H,"216 N. Darlington
Avenue",Lamar,SC,29069,9-12,249,843-326-7500,lhs.dcsdschools.org,"Marlon L. Thomas,
Ed.D.",19,NA
"Darlington
County School
District",Darlington 01,1601999,Spaulding Middle School,1601010,M,"400 East Cartersville
Hwy.",Lamar,SC,29069,6-8,225,(843- 326-7625,"https://www.facebook.com/spauldingtigers/http://spm
.dcsdschools.org/",C. Nicole Jones,18,NA
"Darlington
County School
District",Darlington 01,1601999,"Brockington Elementary
Magnet School",1601013,E,413 Brockington Road,Darlington,SC,29532,3-5,337,843-398-2500,http://bes.dcsdschools.org/,Ada O. Sindab,24,NA
"Darlington
County School
District",Darlington 01,1601999,"Carolina Elementary
School",1601015,E,"719 West Carolina
Avenue",Hartsville,SC,29501,1-5,223,843-857-3230,http://ces.dcsdschools.org/,Kathryn Abbott,22,NA
"Darlington
County School
District",Darlington 01,1601999,North Hartsville Elementary,1601017,E,110 School Drive,Hartsville,SC,29550,1-5,541,843-857-3200,Http://NHE.DCSDschools.org/,Carla Watford,37,NA
"Darlington
County School
District",Darlington 01,1601999,"Rosenwald
Elementary/Middle School",1601020,E,508 Church St.,Society Hill,SC,29593,PK-8,132,843-398-2700,http://rems.dcsdschools.org/,Kimberly S. Mason,12,NA
"Darlington
County School
District",Darlington 01,1601999,"St. John's Elementary
School",1601026,E,140 Park Street,Darlington,SC,29532,PK-5,491,843-398-2350,http://sje.dcsdschools.org/,"Kathryn H.
Atkinson",39,NA
"Darlington
County School
District",Darlington 01,1601999,"Thornwell School For The
Arts",1601027,E,437 W Carolina Ave,Hartsville,SC,29101,1-5,236,843-857-3090,tes.dcsdschools.org,Melinda Brown,22,NA
"Darlington
County School
District",Darlington 01,1601999,Darlington High School,1601030,H,525 Spring Street,Darlington,SC,29532,9-12,1084,843-398-2730,http://dhs.dcsdschools.org/,Cortney Gehrke,69,NA
"Darlington
County School
District",Darlington 01,1601999,Darlington Middle School,1601031,M,150 Pinedale Drive,Darlington,SC,29532,6-8,1020,843-398-5088,dms.dcsdschools.org,Eddie L. Shuler,61,NA
"Darlington
County School
District",Darlington 01,1601999,"Mayo High School For
Math, Science &
Technology",1601033,H,405 Chestnut Street,Darlington,SC,29532,9-12,338,843-398-2650,http://mhs.dcsdschools.org/,Arlene B. Wallace,21,NA
"Darlington
County School
District",Darlington 01,1601999,J. L. Cain Elementary,1601034,E,605 1st Street,Darlington,SC,29532,PK-5,500,843-398-6220,jlc.dcsdschools.org,"Stephanie Harmon
Bridges",35,NA
"Darlington
County School
District",Darlington 01,1601999,"Bay Road Elementary
School",1601036,E,1251 Bay Road,Hartsville,SC,29550,PK-5,531,843-398-6300,http://baydcsd.hosted111.sharpschool.com/,Jacqueline Lynn,37,NA
"Darlington
County School
District",Darlington 01,1601999,"Lamar-Spaulding
Elementary School",1601037,E,5232 Lamar Hwy,Lamar,SC,29069,PK-5,503,843-398-6370,lse.dscdschools.org,Kristi Austin,33,NA
"Dillon School
District Three",Dillon 03,1703999,Latta High School,1703019,H,"618 North Richardson
Street",Latta,SC,29565,9-12,455,843-752-5751,http://www.dillon3.k12.sc.us/LHS/,"Nanette W.
Carmichael",21,NA
"Dillon School
District Three",Dillon 03,1703999,Latta Middle School,1703021,M,"602 North Richardson
Street",Latta,SC,29565,5-8,468,843-752-7117,http://www.dillon3.k12.sc.us/LMS/,Stephanie J. Ard,21,NA
"Dillon School
District Three",Dillon 03,1703999,Latta Elementary School,1703024,E,300 Viking Drive,Latta,SC,29565,PK-4,623,843-752-5295,dillon3.k12.sc.us,Dollie R. Morrell,35,NA
"Dillon School
District Four",Dillon 04,1704999,Lake View High School,1704002,H,401 East Third Avenue,Lake View,SC,29563,6-12,539,843-759-3009,www.dillon.k12.sc.us/schools/lake_view_high_school/,Edison Arnette,38,NA
"Dillon School
District Four",Dillon 04,1704999,"Lake View Elementary
School",1704003,E,1311 Scott Street,Lake View,SC,29563,PK-5,294,843-759-3003,www.dillon.k12.sc.us,"Dr. Kimberly
Walsh",19,NA
"Dillon School
District Four",Dillon 04,1704999,Dillon High School,1704005,H,1730 Hwy 301 North,Dillon,SC,29536,9-12,826,843-774-1230,dillon.k12.sc.us,Timothy P. GIbbs,48,NA
"Dillon School
District Four",Dillon 04,1704999,Gordon Elementary School,1704009,E,926 Perry Ave,Dillon,SC,29536,4-5,455,843.774.1227,"http://www.dillon.k12.sc.us/schools/gordon
_elementary_school","Dr. Michael A.
McRae",23,NA
"Dillon School
District Four",Dillon 04,1704999,Dillon Middle School,1704010,M,"1803 Joan Dr
Dillon,
SC 29536",Dillon,SC,29563,6-8,728,843-774-1212,www.dillon.k12.sc.us,Rodney Cook,43,NA
"Dorchester
School District
Two",Dorchester 02,1802999,Summerville High School,1802006,H,"1101 Boonehill Rd,",Summerville,SC,29483,9-12,3164,843-873-6460,https://www.ddtwo.org/SHS,Kenneth Farrell,163,NA
"Dorchester
School District
Two",Dorchester 02,1802999,"Knightsville Elementary
School",1802007,E,847 Orangeburg Road,Summerville,SC,29483,PK-5,627,843-873-4851,www.ddtwo.org/KES,Claire Sieber,50,NA
"Dorchester
School District
Two",Dorchester 02,1802999,"Summerville Elementary
School",1802009,E,"835 South Main
Street",Summerville,SC,29483,PK-5,492,843-873-2372,https://www.ddtwo.org/ses,Katie Barker,37,NA
"Dorchester
School District
Two",Dorchester 02,1802999,"James H. Spann
Elementary School",1802010,E,"901 John McKissick
Way",Summerville,SC,29483,PK-5,580,843-873-3050,"https://www.ddtwo.org/SPANN
",Shane O. Sanford,47,NA
"Dorchester
School District
Two",Dorchester 02,1802999,Alston Middle School,1802011,M,500 Bryan Street,Summerville,SC,29483,6-8,951,843-873-3890,https://www.ddtwo.org/AMS,"Dr. Michelle
Leviner",59,NA
"Dorchester
School District
Two",Dorchester 02,1802999,"Rollings Middle School Of
The Arts",1802012,M,1635 Beech Hill Road,Summerville,SC,29485,6-8,774,843-873-3610,https://www.ddtwo.org/RMSA,Patrick Pye,46,NA
"Dorchester
School District
Two",Dorchester 02,1802999,"Newington Elementary
School",1802013,E,"10 KING CHARLES
CIR",SUMMERVILLE,SC,29485,PK-5,709,8438713230,www.ddtwo.org/nes,Rachel Cubbage,53,NA
"Dorchester
School District
Two",Dorchester 02,1802999,"Flowertown Elementary
School",1802014,E,20 King Charles Circle,Summerville,SC,29485,PK-5,755,843-871-7400,https://www.ddtwo.org/FES,Carey Ball Hodge,61,NA
"Dorchester
School District
Two",Dorchester 02,1802999,"Charles Dubose Middle
School",1802016,M,"1005 DuBose School
Road",Summerville,SC,29483,6-8,1149,843-875-7012,https://www.ddtwo.org/DMS,Theodore Brinkley,68,NA
"Dorchester
School District
Two",Dorchester 02,1802999,"Oakbrook Elementary
School",1802017,E,306 Old Fort Drive,Ladson,SC,29456,PK-5,618,843-821-1165,https://www.ddtwo.org/Domain/969,Kimberly Boutin,43,NA
"Dorchester
School District
Two",Dorchester 02,1802999,Oakbrook Middle School,1802018,M,113 Musket Loop,Summerville,SC,29483,6-8,1168,8433237146,https://www.ddtwo.org/OMS,Matthew Legare,71,NA
"Dorchester
School District
Two",Dorchester 02,1802999,"Windsor Hill Arts Infused
Elementary",1802019,E,"8600 William Moultrie
Drive",North Charleston,SC,29420,PK-5,664,843-760-9820,https://www.ddtwo.org/WHAIES,Robert Neuner,60,NA
"Dorchester
School District
Two",Dorchester 02,1802999,"Fort Dorchester High
School",1802020,H,8500 Patriot Blvd,North Charleston,SC,29420,9-12,2237,843-760-4450,https://www.ddtwo.org/FDHS,"Raymond J.
""Tripp"" Aldredge,
III",125,NA
"Dorchester
School District
Two",Dorchester 02,1802999,"Beech Hill Elementary
School",1802021,E,1001 Beech Hill Road,Summerville,SC,29485,PK-5,890,843-821-3970,https://www.ddtwo.org/BHES,Rene Wyatt Harris,59,NA
"Dorchester
School District
Two",Dorchester 02,1802999,Gregg Middle School,1802022,M,500 Greenwave Blvd,Summerville,SC,29483,6-8,1212,843-871-3150,https://www.ddtwo.org/gms,William Wilson,71,NA
"Dorchester
School District
Two",Dorchester 02,1802999,"Fort Dorchester Elementary
School",1802023,E,5201 Old Glory Lane,Summerville,SC,29485,PK-5,877,843-832-5550,https://www.ddtwo.org/Domain/687,"Annette M.
Pletcher",60,NA
"Dorchester
School District
Two",Dorchester 02,1802999,"Eagle Nest Elementary
School",1802024,E,8640 River Oaks Drive,North Charleston,SC,29420,PK-5,734,843-695-2460,https://www.ddtwo.org/Domain/506,"Dr. Tamara
Diebold",53,NA
"Dorchester
School District
Two",Dorchester 02,1802999,William Reeves Elementary,1802025,E,"1003 Dubose School
Road",Summerville,SC,29483,PK-5,817,843-695-2450,https://sc01916099.schoolwires.net/Page/4884,Natalie Hayes,57,NA
"Dorchester
School District
Two",Dorchester 02,1802999,River Oaks Middle School,1802026,M,8642 River Oaks Drive,North Charleston,SC,29420,6-8,954,843-695-2470,https://www.ddtwo.org/roms,William Mansor,60,NA
"Dorchester
School District
Two",Dorchester 02,1802999,Ashley Ridge High School,1802027,H,"9800 Delemar
Highway",Summerville,SC,29485,9-12,2215,843-695-4900,https://www.ddtwo.org/ARHS,"Brooke M.
Matthews",122,NA
"Dorchester
School District
Two",Dorchester 02,1802999,Joseph R. Pye Elementary,1802028,E,9701 Patriot Blvd,Ladson,SC,29456,PK-5,772,843-695-2979,https://www.ddtwo.org/JPES,"Wanda L.
Gadsden",54,NA
"Dorchester
School District
Two",Dorchester 02,1802999,"Sand Hill Elementary
School",1802029,E,324 Gnarly Oak Lane,Summerville,SC,29485,PK-5,867,843-695-5201,https://www.ddtwo.org/SHES,"Ms. Francina
Gerald",59,NA
"Dorchester
School District
Two",Dorchester 02,1802999,"Dr. Eugene Sires
Elementary",1802030,E,"301 Chandler Creek
Blvd",Summerville,SC,29483,PK-5,803,843 695 5205,https://www.ddtwo.org/ESES,"Mrs. Laura
Blanchard",56,NA
"Dorchester
School District
Two",Dorchester 02,1802999,Alston-Bailey Elementary,1802031,E,"850 W 5TH NORTH
ST",SUMMERVILLE,SC,29483,PK-5,655,843-695-5210,https://www.ddtwo.org/ABES,"Vernisa Y.
Bodison",47,NA
"Dorchester
District Four",Dorchester 04,1804999,"Harleyville Elementary
School",1804016,E,1650 East Main Street,Dorchester,SC,29437,PK-5,239,843-462-7671,https://hes.dorchester4.k12.sc.us/,Chaquilla Green,18,NA
"Dorchester
District Four",Dorchester 04,1804999,St. George Middle School,1804017,M,600 Minus Street,St. George,SC,29477,6-8,304,843-563-3171,https://stgeorge.dorchester4.k12.sc.us/,"Benjamin
Kennedy",21,NA
"Dorchester
District Four",Dorchester 04,1804999,"Williams Memorial
Elementary School",1804018,E,290 South Metts Street,Saint George,SC,29477,PK-5,575,843-563-3231,https://wmesdorchestersc.schoolinsites.com/,Ruth Mims,47,NA
