district_x,school_x,school_id,report_card_type_p_e_m_h_d,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,year,district_y,school_y,type,e_pct_me,e_pct_in_need_of_support,m_pct_me,m_pct_in_need_of_support,sc_pct_me,p17_sci1nm,sc_pct_in_need_of_support,total_actively_enrolled_students,gender_female,gender_male,black_or_african_american,white,schoolid,gender_missing,pupils_in_poverty,all_other_races,lat,lon
Florence One Schools,Lucy T. Davis Elementary School,2101051,E,201 Westfield Drive,Florence,SC,29501,K-5,535,843-665-5977,https://www.f1s.org/LucyTDavis,Sonya Graves,39.0,2021,Florence One Schools,Lucy T. Davis Elementary School,E,48.3,27.3,42.2,27.4,36.7,,33.3,541.0,252.0,289.0,240.0,228.0,,0.0,293.0,73.0,34.201041,-79.8480599
Florence One Schools,Palmetto Youth Academy Charter,2101600,E,1209 N. Douglas Street,Florence,SC,29501,K-6,76,843-679-7070,palmettoyouthacademy.com,Yvonne Brown-Burgess,1.0,2017,Florence School District One,Palmetto Youth Academy,E,22.0,36.0,8.0,50.0,,,,95.0,38.0,57.0,95.0,0.0,,,,0.0,34.21474194612762,-79.77266226166945
Florence One Schools,Palmetto Youth Academy Charter,2101600,E,1209 N. Douglas Street,Florence,SC,29501,K-6,76,843-679-7070,palmettoyouthacademy.com,Yvonne Brown-Burgess,1.0,2018,Florence School District One,Palmetto Youth Academy Charter,E,17.4,39.1,15.2,58.7,9.1,,68.2,,,,,,,,,,34.21474194612762,-79.77266226166945
Florence One Schools,Palmetto Youth Academy Charter,2101600,E,1209 N. Douglas Street,Florence,SC,29501,K-6,76,843-679-7070,palmettoyouthacademy.com,Yvonne Brown-Burgess,1.0,2019,Florence One Schools,Palmetto Youth Academy,E,15.4,32.7,23.1,46.2,16.1,,48.4,94.0,46.0,48.0,92.0,0.0,,0.0,93.0,2.0,34.21474194612762,-79.77266226166945
Florence One Schools,Palmetto Youth Academy Charter,2101600,E,1209 N. Douglas Street,Florence,SC,29501,K-6,76,843-679-7070,palmettoyouthacademy.com,Yvonne Brown-Burgess,1.0,2021,Florence One Schools,Palmetto Youth Academy Charter,E,18.2,42.4,6.1,66.7,12.5,,75.0,69.0,33.0,36.0,66.0,0.0,,0.0,65.0,3.0,34.21474194612762,-79.77266226166945
Florence County School District 2,Hannah - Pamplico High School,2102024,H,2055 South Pamplico Highway,Pamplico,SC,29583,9-12,332,843-493-5781,https://www.fsd2.org/domain/10,Sterling J. Mosby,24.0,0,,,,,,,,,,,,,,,,,,,,33.9461836,-79.5509976
Florence County School District 2,Hannah-Pamplico Elementary/Middle Schoo,2102028,E,2131 South Pamplico Highway,Pamplico,SC,29583,PK-8,762,843-493-2061,https://www.fsd2.org/domain/9,H. Legrande Richardson,47.0,2017,Florence County School District Two,Hannah-Pamplico Elementary/Middle School,E,31.700000000000003,30.4,35.3,27.7,,,,805.0,372.0,433.0,321.0,435.0,,,,49.0,33.941944,-79.549646
Florence County School District 2,Hannah-Pamplico Elementary/Middle Schoo,2102028,E,2131 South Pamplico Highway,Pamplico,SC,29583,PK-8,762,843-493-2061,https://www.fsd2.org/domain/9,H. Legrande Richardson,47.0,2017,Florence County School District Two,Hannah-Pamplico Elementary/Middle School,M,26.5,39.1,22.2,39.8,29.5,38.3,,805.0,372.0,433.0,321.0,435.0,,,,49.0,33.941944,-79.549646
Florence County School District 2,Hannah-Pamplico Elementary/Middle Schoo,2102028,E,2131 South Pamplico Highway,Pamplico,SC,29583,PK-8,762,843-493-2061,https://www.fsd2.org/domain/9,H. Legrande Richardson,47.0,2018,Florence School District Two,Hannah-Pamplico Elementary/Middle School,E,31.6,30.9,43.8,25.0,59.7,,16.9,,,,,,,,,,33.941944,-79.549646
Florence County School District 2,Hannah-Pamplico Elementary/Middle Schoo,2102028,E,2131 South Pamplico Highway,Pamplico,SC,29583,PK-8,762,843-493-2061,https://www.fsd2.org/domain/9,H. Legrande Richardson,47.0,2018,Florence School District Two,Hannah-Pamplico Elementary/Middle School,M,20.9,46.3,21.3,48.8,26.6,,44.6,,,,,,,,,,33.941944,-79.549646
Florence County School District 2,Hannah-Pamplico Elementary/Middle Schoo,2102028,E,2131 South Pamplico Highway,Pamplico,SC,29583,PK-8,762,843-493-2061,https://www.fsd2.org/domain/9,H. Legrande Richardson,47.0,2019,Florence School District Two,Hannah - Pamplico Elementary/Middle School,E,39.9,33.9,33.9,32.2,38.9,,43.3,769.0,380.0,389.0,280.0,416.0,,0.0,577.0,73.0,33.941944,-79.549646
Florence County School District 2,Hannah-Pamplico Elementary/Middle Schoo,2102028,E,2131 South Pamplico Highway,Pamplico,SC,29583,PK-8,762,843-493-2061,https://www.fsd2.org/domain/9,H. Legrande Richardson,47.0,2019,Florence School District Two,Hannah - Pamplico Elementary/Middle School,M,31.4,32.7,28.6,35.0,40.1,,35.2,769.0,380.0,389.0,280.0,416.0,,0.0,577.0,73.0,33.941944,-79.549646
Florence County School District 2,Hannah-Pamplico Elementary/Middle Schoo,2102028,E,2131 South Pamplico Highway,Pamplico,SC,29583,PK-8,762,843-493-2061,https://www.fsd2.org/domain/9,H. Legrande Richardson,47.0,2021,Florence County School District 2,Hannah-Pamplico Elementary/Middle Schoo,E,25.8,39.2,22.3,43.5,26.1,,52.2,782.0,381.0,401.0,288.0,425.0,,0.0,562.0,69.0,33.941944,-79.549646
Florence County School District 2,Hannah-Pamplico Elementary/Middle Schoo,2102028,E,2131 South Pamplico Highway,Pamplico,SC,29583,PK-8,762,843-493-2061,https://www.fsd2.org/domain/9,H. Legrande Richardson,47.0,2021,Florence County School District 2,Hannah-Pamplico Elementary/Middle Schoo,M,30.4,35.7,20.3,50.6,22.9,,57.1,782.0,381.0,401.0,288.0,425.0,,0.0,562.0,69.0,33.941944,-79.549646
Florence School District Three,Lake City High School,2103029,H,652 N. Matthew Road,Lake City,SC,29560,9-12,733,843-374-5119,www.lchs.florence3.k12.sc.us ,Dr. Fred Moore,53.0,0,,,,,,,,,,,,,,,,,,,,no_result,no_result
Florence School District Three,J. C. Lynch Elementary School,2103036,E,124 Hicks Road,Coward,SC,20530,PK-6,400,8436992114,http://www.jcles.florence3.k12.sc.us/,Angela A. Tanner,26.0,2017,Florence School District Three,J.C. Lynch Elementary School,E,38.6,30.2,34.4,25.5,,,,427.0,219.0,208.0,79.0,281.0,,,,67.0,33.9727813745409,-79.75146661707792
Florence School District Three,J. C. Lynch Elementary School,2103036,E,124 Hicks Road,Coward,SC,20530,PK-6,400,8436992114,http://www.jcles.florence3.k12.sc.us/,Angela A. Tanner,26.0,2018,Florence County School District Three,J.C. Lynch Elementary School,E,32.3,34.3,35.5,28.9,40.3,,16.7,,,,,,,,,,33.9727813745409,-79.75146661707792
Florence School District Three,J. C. Lynch Elementary School,2103036,E,124 Hicks Road,Coward,SC,20530,PK-6,400,8436992114,http://www.jcles.florence3.k12.sc.us/,Angela A. Tanner,26.0,2019,Florence School District Three,J.C. Lynch Elementary,E,36.6,31.5,31.5,30.7,40.9,,34.5,440.0,229.0,211.0,67.0,296.0,,0.0,367.0,77.0,33.9727813745409,-79.75146661707792
Florence School District Three,J. C. Lynch Elementary School,2103036,E,124 Hicks Road,Coward,SC,20530,PK-6,400,8436992114,http://www.jcles.florence3.k12.sc.us/,Angela A. Tanner,26.0,2021,Florence School District Three,J. C. Lynch Elementary School,E,31.3,33.9,27.6,39.1,27.7,,44.7,398.0,199.0,199.0,73.0,254.0,,0.0,343.0,71.0,33.9727813745409,-79.75146661707792
Florence School District Three,Olanta Creative Arts And Science Magnet School,2103037,E,312 North Jones Rd.,Olanta,SC,29114,PK-6,253,843-396-4457,http://oes.florence3.k12.sc.us,Tonyelle L. Thomas,16.0,2017,Florence School District Three,Olanta Elementary School,E,23.4,41.1,23.4,51.4,,,,241.0,119.0,122.0,145.0,89.0,,,,7.0,33.93814242857143,-79.93310528571429
Florence School District Three,Olanta Creative Arts And Science Magnet School,2103037,E,312 North Jones Rd.,Olanta,SC,29114,PK-6,253,843-396-4457,http://oes.florence3.k12.sc.us,Tonyelle L. Thomas,16.0,2018,Florence County School District Three,Olanta Elementary School,E,24.8,47.6,24.8,48.6,15.2,,48.5,,,,,,,,,,33.93814242857143,-79.93310528571429
Florence School District Three,Olanta Creative Arts And Science Magnet School,2103037,E,312 North Jones Rd.,Olanta,SC,29114,PK-6,253,843-396-4457,http://oes.florence3.k12.sc.us,Tonyelle L. Thomas,16.0,2019,Florence School District Three,Olanta Creative Arts And Science Magnet School,E,24.7,51.6,21.5,50.5,37.1,,40.0,219.0,108.0,111.0,128.0,74.0,,0.0,197.0,17.0,33.93814242857143,-79.93310528571429
Florence School District Three,Olanta Creative Arts And Science Magnet School,2103037,E,312 North Jones Rd.,Olanta,SC,29114,PK-6,253,843-396-4457,http://oes.florence3.k12.sc.us,Tonyelle L. Thomas,16.0,2021,Florence School District Three,Olanta Creative Arts And Science Magnet School,E,16.2,60.8,14.6,61.5,8.6,,61.4,257.0,124.0,133.0,149.0,83.0,,0.0,235.0,25.0,33.93814242857143,-79.93310528571429
Florence School District Three,Scranton Elementary Steam Academy,2103039,E,1649 US Hwy 52,Scranton,SC,29591,PK-6,389,843-699-2112,ses.florence3.k12.sc.us,Shanda Poston,25.0,2017,Florence School District Three,Scranton Elementary,E,32.7,33.2,29.5,33.2,,,,385.0,180.0,205.0,178.0,193.0,,,,14.0,no_result,no_result
Florence School District Three,Scranton Elementary Steam Academy,2103039,E,1649 US Hwy 52,Scranton,SC,29591,PK-6,389,843-699-2112,ses.florence3.k12.sc.us,Shanda Poston,25.0,2018,Florence County School District Three,Scranton Elementary,E,36.2,31.2,35.8,29.8,37.3,,24.0,,,,,,,,,,no_result,no_result
Florence School District Three,Scranton Elementary Steam Academy,2103039,E,1649 US Hwy 52,Scranton,SC,29591,PK-6,389,843-699-2112,ses.florence3.k12.sc.us,Shanda Poston,25.0,2019,Florence School District Three,Scranton Elementary Steam Academy,E,39.4,27.2,34.6,20.5,41.4,,29.3,479.0,235.0,244.0,239.0,209.0,,0.0,393.0,31.0,no_result,no_result
Florence School District Three,Scranton Elementary Steam Academy,2103039,E,1649 US Hwy 52,Scranton,SC,29591,PK-6,389,843-699-2112,ses.florence3.k12.sc.us,Shanda Poston,25.0,2021,Florence School District Three,Scranton Elementary Steam Academy,E,29.4,39.2,25.6,38.9,21.7,,44.6,393.0,186.0,207.0,193.0,165.0,,0.0,323.0,35.0,no_result,no_result
Florence School District Three,Main Street Elementary,2103051,E,318 E. Main Street,"Lake City, South Carolina",SC,29560,3-6,361,843-374-2221,http://www.mses.florence3.k12.sc.us/,Sharon N. Williams,23.0,2017,Florence School District Three,Main Street Elementary,E,15.8,52.8,16.3,54.9,,,,399.0,197.0,202.0,370.0,15.0,,,,14.0,33.8706098,-79.74989695000001
Florence School District Three,Main Street Elementary,2103051,E,318 E. Main Street,"Lake City, South Carolina",SC,29560,3-6,361,843-374-2221,http://www.mses.florence3.k12.sc.us/,Sharon N. Williams,23.0,2018,Florence County School District Three,Main Street Elementary School,E,19.1,48.4,19.4,52.8,13.4,,56.3,,,,,,,,,,33.8706098,-79.74989695000001
Florence School District Three,Main Street Elementary,2103051,E,318 E. Main Street,"Lake City, South Carolina",SC,29560,3-6,361,843-374-2221,http://www.mses.florence3.k12.sc.us/,Sharon N. Williams,23.0,2019,Florence School District Three,Main Street Elementary School Of Arts & Leadership,E,22.7,47.8,22.7,46.7,8.9,,65.3,408.0,200.0,208.0,368.0,25.0,,0.0,387.0,15.0,33.8706098,-79.74989695000001
Florence School District Three,Main Street Elementary,2103051,E,318 E. Main Street,"Lake City, South Carolina",SC,29560,3-6,361,843-374-2221,http://www.mses.florence3.k12.sc.us/,Sharon N. Williams,23.0,2021,Florence School District Three,Main Street Elementary,E,13.2,62.4,7.0,69.9,4.7,,85.9,370.0,189.0,181.0,344.0,14.0,,0.0,359.0,12.0,33.8706098,-79.74989695000001
Florence School District Three,Florence School District 3; Dr. Ronald E. Mcnair Junior High Scho,2103053,M,311 Carver St,311 Carver St,SC,29560,7-8,316,843-374-8651,http://www.remms.florence3.k12.sc.us/,Terrell Fleming,22.0,2017,Florence School District Three,Ronald E. McNair Junior High School,M,17.400000000000002,45.4,11.8,53.1,20.6,54.7,,545.0,277.0,268.0,381.0,135.0,,,,29.0,34.8403633,-82.3822024
Florence School District Three,Florence School District 3; Dr. Ronald E. Mcnair Junior High Scho,2103053,M,311 Carver St,311 Carver St,SC,29560,7-8,316,843-374-8651,http://www.remms.florence3.k12.sc.us/,Terrell Fleming,22.0,2018,Florence County School District Three,Dr. Ronald E. Mcnair Junior High School,M,20.1,45.4,13.7,58.9,21.6,,51.9,,,,,,,,,,34.8403633,-82.3822024
Florence School District Three,Florence School District 3; Dr. Ronald E. Mcnair Junior High Scho,2103053,M,311 Carver St,311 Carver St,SC,29560,7-8,316,843-374-8651,http://www.remms.florence3.k12.sc.us/,Terrell Fleming,22.0,2019,Florence School District Three,Dr. Ronald E. Mcnair School Of Digital Communication And Leadersh,M,15.2,56.4,7.7,65.7,13.9,,61.5,380.0,165.0,215.0,302.0,53.0,,0.0,352.0,25.0,34.8403633,-82.3822024
Florence School District Three,Florence School District 3; Dr. Ronald E. Mcnair Junior High Scho,2103053,M,311 Carver St,311 Carver St,SC,29560,7-8,316,843-374-8651,http://www.remms.florence3.k12.sc.us/,Terrell Fleming,22.0,2021,Florence School District Three,Florence School District 3; Dr. Ronald E. Mcnair Junior High Scho,M,12.8,56.3,7.3,64.8,,,,311.0,158.0,153.0,229.0,64.0,,0.0,297.0,18.0,34.8403633,-82.3822024
Florence School District Three,J. Paul Truluck Creative Arts And Science Magnet School,2103054,H,319 Carlisle St.,Lake City,SC,29560,6-11,430,843-374-8685,www.jptms.florence3.k12.sc.us,Mac McDougal,29.0,2019,Florence School District Three,J. Paul Truluck Creative Arts And Science Magnet School,M,45.1,23.5,31.5,27.2,44.5,,27.0,254.0,135.0,119.0,129.0,99.0,,0.0,201.0,26.0,33.874467568901395,-79.76371178052821
Florence School District Three,J. Paul Truluck Creative Arts And Science Magnet School,2103054,H,319 Carlisle St.,Lake City,SC,29560,6-11,430,843-374-8685,www.jptms.florence3.k12.sc.us,Mac McDougal,29.0,2021,Florence School District Three,J. Paul Truluck Creative Arts And Science Magnet School,M,34.3,32.8,12.3,56.0,39.6,,32.1,420.0,236.0,184.0,204.0,176.0,,0.0,330.0,40.0,33.874467568901395,-79.76371178052821
Florence 4,Timmonsville High,2104041,H,304 Kemper Street,Timmonsville,SC,29161,9-12,168,843-346-3956,www.florence4.k12.sc.us,Tonya Addison,13.0,0,,,,,,,,,,,,,,,,,,,,34.12288215433092,-79.93987197622222
Florence 4,Johnson Middle,2104042,M,304 Kemper Street ,Timmonsville,SC,29161,6-8,181,843-346-3956,www.florence4.k12.sc.us,Tonya Addison,6.0,2017,Florence 4,Johnson Middle School,M,7.699999999999999,67.3,9.6,59.6,13.5,65.4,,115.0,41.0,74.0,93.0,13.0,,,,9.0,34.12288215433092,-79.93987197622222
Florence 4,Johnson Middle,2104042,M,304 Kemper Street ,Timmonsville,SC,29161,6-8,181,843-346-3956,www.florence4.k12.sc.us,Tonya Addison,6.0,2018,Florence School District Four,Johnson Middle School,M,8.0,65.9,12.3,53.6,20.8,,55.2,,,,,,,,,,34.12288215433092,-79.93987197622222
Florence 4,Johnson Middle,2104042,M,304 Kemper Street ,Timmonsville,SC,29161,6-8,181,843-346-3956,www.florence4.k12.sc.us,Tonya Addison,6.0,2019,Florence County School District Four,Johnson Middle School,M,10.3,52.7,11.5,53.9,14.9,,57.4,188.0,90.0,98.0,148.0,14.0,,0.0,171.0,26.0,34.12288215433092,-79.93987197622222
Florence 4,Johnson Middle,2104042,M,304 Kemper Street ,Timmonsville,SC,29161,6-8,181,843-346-3956,www.florence4.k12.sc.us,Tonya Addison,6.0,2021,Florence 4,Johnson Middle,M,13.5,57.4,5.0,71.7,12.5,,70.0,185.0,90.0,95.0,152.0,8.0,,0.0,170.0,25.0,34.12288215433092,-79.93987197622222
Florence 4,Brockington Elementary,2104043,E,304 Kemper Street,Timmonsville,SC,29161,PK-5,332,843-346-4953,http://www.florence4.k12.sc.us/,Teresa Gamble,24.0,2017,Florence 4,Brockington Elementary School,E,4.2,75.4,6.6,68.3,,,,372.0,190.0,182.0,301.0,28.0,,,,38.0,34.12288215433092,-79.93987197622222
Florence 4,Brockington Elementary,2104043,E,304 Kemper Street,Timmonsville,SC,29161,PK-5,332,843-346-4953,http://www.florence4.k12.sc.us/,Teresa Gamble,24.0,2018,Florence School District Four,Brockington Elementary,E,10.6,68.2,17.2,58.9,24.1,,53.7,,,,,,,,,,34.12288215433092,-79.93987197622222
Florence 4,Brockington Elementary,2104043,E,304 Kemper Street,Timmonsville,SC,29161,PK-5,332,843-346-4953,http://www.florence4.k12.sc.us/,Teresa Gamble,24.0,2019,Florence County School District Four,Brockington Elementary School,E,13.6,65.7,15.0,55.0,2.3,,74.4,348.0,177.0,171.0,266.0,29.0,,0.0,316.0,53.0,34.12288215433092,-79.93987197622222
Florence 4,Brockington Elementary,2104043,E,304 Kemper Street,Timmonsville,SC,29161,PK-5,332,843-346-4953,http://www.florence4.k12.sc.us/,Teresa Gamble,24.0,2021,Florence 4,Brockington Elementary,E,13.1,68.0,4.9,75.6,9.1,,70.5,327.0,164.0,163.0,271.0,23.0,,0.0,303.0,33.0,34.12288215433092,-79.93987197622222
Florence School District Five,Johnsonville High School,2105045,H,237 S. Georgetown Highway,Johnsonville,SC,29555,9-12,334,843-386-2707,https://jhs.fsd5.org/,Samuel Tuten,26.0,0,,,,,,,,,,,,,,,,,,,,33.81345761060937,-79.44217314325472
Florence School District Five,Johnsonville Elementary School,2105047,E,160 East Marion Street,Johnsonville,SC,29555,PK-4,475,843-386-2955,jes.fsd5.org,Mirandi O. Squires,35.0,2017,Florence School District Five,Johnsonville Elementary School,E,30.9,29.4,35.8,26.5,,,,535.0,263.0,272.0,174.0,336.0,,,,25.0,33.81740156,-79.44567164
Florence School District Five,Johnsonville Elementary School,2105047,E,160 East Marion Street,Johnsonville,SC,29555,PK-4,475,843-386-2955,jes.fsd5.org,Mirandi O. Squires,35.0,2018,Florence County School District Five,Johnsonville Elementary School,E,36.7,31.1,39.3,24.5,40.7,,24.1,,,,,,,,,,33.81740156,-79.44567164
Florence School District Five,Johnsonville Elementary School,2105047,E,160 East Marion Street,Johnsonville,SC,29555,PK-4,475,843-386-2955,jes.fsd5.org,Mirandi O. Squires,35.0,2019,Florence County School District Five,Johnsonville Elementary School,E,46.9,27.7,40.7,31.1,45.9,,29.6,499.0,241.0,258.0,140.0,317.0,,0.0,383.0,42.0,33.81740156,-79.44567164
Florence School District Five,Johnsonville Elementary School,2105047,E,160 East Marion Street,Johnsonville,SC,29555,PK-4,475,843-386-2955,jes.fsd5.org,Mirandi O. Squires,35.0,2021,Florence School District Five,Johnsonville Elementary School,E,38.0,38.6,46.4,33.7,37.0,,40.2,476.0,203.0,273.0,129.0,311.0,,0.0,375.0,36.0,33.81740156,-79.44567164
Florence School District Five,Johnsonville Middle School,2105049,M,415 Maple Avenue,Johnsonville,SC,29555,5-8,371,843-386-2066,jms@fsd5.org,Randy Willis,25.0,2017,Florence School District Five,Johnsonville Middle School,M,35.5,27.8,33.900000000000006,31.4,38.0,30.6,,377.0,193.0,184.0,118.0,242.0,,,,17.0,33.80555635219753,-79.44550818418341
Florence School District Five,Johnsonville Middle School,2105049,M,415 Maple Avenue,Johnsonville,SC,29555,5-8,371,843-386-2066,jms@fsd5.org,Randy Willis,25.0,2018,Florence County School District Five,Johnsonville Middle School,M,30.9,27.9,30.9,33.9,33.0,,33.5,,,,,,,,,,33.80555635219753,-79.44550818418341
Florence School District Five,Johnsonville Middle School,2105049,M,415 Maple Avenue,Johnsonville,SC,29555,5-8,371,843-386-2066,jms@fsd5.org,Randy Willis,25.0,2019,Florence County School District Five,Johnsonville Middle School,M,35.2,29.3,33.1,29.8,42.8,,32.6,378.0,197.0,181.0,112.0,242.0,,0.0,264.0,24.0,33.80555635219753,-79.44550818418341
Florence School District Five,Johnsonville Middle School,2105049,M,415 Maple Avenue,Johnsonville,SC,29555,5-8,371,843-386-2066,jms@fsd5.org,Randy Willis,25.0,2021,Florence School District Five,Johnsonville Middle School,M,29.1,39.4,23.7,42.0,21.2,,52.9,382.0,198.0,184.0,118.0,236.0,,0.0,274.0,28.0,33.80555635219753,-79.44550818418341
Georgetown County School District,Andrews High School,2201001,H,12890 County Line Road,Andrews,SC,29510,9-12,540,843-264-3414,https://ahs.gcsd.k12.sc.us/,Dr. Paula Anderson,38.0,0,,,,,,,,,,,,,,,,,,,,33.456494,-79.577007
Georgetown County School District,Georgetown High,2201004,H,2500 Anthuan Maybank Drive,Georgetown,SC,29440,9-12,942,843-546-8516,ghs.gcsd.k12.sc.us,Craig A. Stone,68.0,0,,,,,,,,,,,,,,,,,,,,33.384929,-79.303051
Georgetown County School District,Andrews Elementary School,2201008,E,13072 County Line Road,Andrews,SC,29440,PK-5,711,843-520-9540,https://aes.gcsd.k12.sc.us/,Adrienne Watford,61.0,2017,Georgetown County School District,Andrews Elementary School,E,28.6,39.1,30.200000000000003,38.8,,,,769.0,361.0,408.0,373.0,356.0,,,,40.0,33.46295825331187,-79.57028968517247
Georgetown County School District,Andrews Elementary School,2201008,E,13072 County Line Road,Andrews,SC,29440,PK-5,711,843-520-9540,https://aes.gcsd.k12.sc.us/,Adrienne Watford,61.0,2018,Georgetown County Schools,Andrews Elementary School,E,25.9,38.5,32.1,38.2,22.1,,45.9,,,,,,,,,,33.46295825331187,-79.57028968517247
Georgetown County School District,Andrews Elementary School,2201008,E,13072 County Line Road,Andrews,SC,29440,PK-5,711,843-520-9540,https://aes.gcsd.k12.sc.us/,Adrienne Watford,61.0,2019,Georgetown County School District,Andrews Elementary School,E,29.1,42.5,32.8,34.5,17.3,,50.9,807.0,391.0,416.0,404.0,365.0,,0.0,641.0,38.0,33.46295825331187,-79.57028968517247
Georgetown County School District,Andrews Elementary School,2201008,E,13072 County Line Road,Andrews,SC,29440,PK-5,711,843-520-9540,https://aes.gcsd.k12.sc.us/,Adrienne Watford,61.0,2021,Georgetown County School District,Andrews Elementary School,E,19.2,49.8,20.4,51.4,12.7,,62.7,725.0,352.0,373.0,356.0,328.0,,0.0,587.0,41.0,33.46295825331187,-79.57028968517247
Georgetown County School District,Brown's Ferry Elementary School,2201009,E,7292 Brown's Ferry Rd.,"Georgetown, SC",SC,29440,PK-5,143,843-527-1325,https://bfe.gcsd.k12.sc.us/home,Tawanna N. Grant,13.0,2017,Georgetown County School District,Brown's Ferry Elementary School,E,28.0,49.3,22.7,58.7,,,,176.0,95.0,81.0,170.0,4.0,,,,2.0,no_result,no_result
Georgetown County School District,Brown's Ferry Elementary School,2201009,E,7292 Brown's Ferry Rd.,"Georgetown, SC",SC,29440,PK-5,143,843-527-1325,https://bfe.gcsd.k12.sc.us/home,Tawanna N. Grant,13.0,2018,Georgetown County Schools,Brown's Ferry Elementary School,E,26.7,25.3,37.3,33.3,52.9,,17.6,,,,,,,,,,no_result,no_result
Georgetown County School District,Brown's Ferry Elementary School,2201009,E,7292 Brown's Ferry Rd.,"Georgetown, SC",SC,29440,PK-5,143,843-527-1325,https://bfe.gcsd.k12.sc.us/home,Tawanna N. Grant,13.0,2019,Georgetown County School District,Brown's Ferry Elementary School,E,40.3,26.9,40.3,23.9,28.0,,32.0,179.0,92.0,87.0,166.0,10.0,,0.0,159.0,3.0,no_result,no_result
Georgetown County School District,Brown's Ferry Elementary School,2201009,E,7292 Brown's Ferry Rd.,"Georgetown, SC",SC,29440,PK-5,143,843-527-1325,https://bfe.gcsd.k12.sc.us/home,Tawanna N. Grant,13.0,2021,Georgetown County School District,Brown's Ferry Elementary School,E,16.9,38.5,15.4,56.9,11.1,,50.0,142.0,67.0,75.0,136.0,5.0,,0.0,132.0,1.0,no_result,no_result
Georgetown County School District,Pleasant Hill Elementary School,2201012,E,127 Schoolhouse Drive,Hemingway,SC,29554,PK-5,292,843-558-9417,https://phe.gcsd.k12.sc.us/,William T. Graham,23.0,2017,Georgetown County School District,Pleasant Hill Elementary School,E,42.8,17.9,55.5,12.7,,,,376.0,183.0,193.0,152.0,211.0,,,,13.0,no_result,no_result
Georgetown County School District,Pleasant Hill Elementary School,2201012,E,127 Schoolhouse Drive,Hemingway,SC,29554,PK-5,292,843-558-9417,https://phe.gcsd.k12.sc.us/,William T. Graham,23.0,2018,Georgetown County Schools,Pleasant Hill Elementary School,E,34.1,24.0,44.7,21.2,43.5,,14.5,,,,,,,,,,no_result,no_result
Georgetown County School District,Pleasant Hill Elementary School,2201012,E,127 Schoolhouse Drive,Hemingway,SC,29554,PK-5,292,843-558-9417,https://phe.gcsd.k12.sc.us/,William T. Graham,23.0,2019,Georgetown County School District,Pleasant Hill Elementary School,E,39.9,28.9,46.8,20.8,45.0,,31.7,363.0,170.0,193.0,156.0,197.0,,0.0,273.0,10.0,no_result,no_result
Georgetown County School District,Pleasant Hill Elementary School,2201012,E,127 Schoolhouse Drive,Hemingway,SC,29554,PK-5,292,843-558-9417,https://phe.gcsd.k12.sc.us/,William T. Graham,23.0,2021,Georgetown County School District,Pleasant Hill Elementary School,E,39.6,34.5,41.0,29.5,42.9,,32.1,289.0,139.0,150.0,114.0,164.0,,0.0,220.0,11.0,no_result,no_result
Georgetown County School District,Georgetown Middle School,2201013,M,2400 Anthuan Maybank Drive,Georgetown,SC,29440,6-8,794,843-527-4495,gms.gcsd.k12.sc.us,Seth C. Hillman,51.0,2017,Georgetown County School District,Georgetown Middle School,M,32.5,26.9,29.1,33.7,34.5,34.0,,792.0,381.0,411.0,362.0,352.0,,,,78.0,33.387296,-79.295554
Georgetown County School District,Georgetown Middle School,2201013,M,2400 Anthuan Maybank Drive,Georgetown,SC,29440,6-8,794,843-527-4495,gms.gcsd.k12.sc.us,Seth C. Hillman,51.0,2018,Georgetown County Schools,Georgetown Middle School,M,30.7,32.1,29.1,36.2,38.1,,33.4,,,,,,,,,,33.387296,-79.295554
Georgetown County School District,Georgetown Middle School,2201013,M,2400 Anthuan Maybank Drive,Georgetown,SC,29440,6-8,794,843-527-4495,gms.gcsd.k12.sc.us,Seth C. Hillman,51.0,2019,Georgetown County School District,Georgetown Middle School,M,32.0,32.5,26.7,41.8,33.2,,36.5,758.0,366.0,392.0,358.0,313.0,,0.0,565.0,87.0,33.387296,-79.295554
Georgetown County School District,Georgetown Middle School,2201013,M,2400 Anthuan Maybank Drive,Georgetown,SC,29440,6-8,794,843-527-4495,gms.gcsd.k12.sc.us,Seth C. Hillman,51.0,2021,Georgetown County School District,Georgetown Middle School,M,23.0,44.9,14.6,53.3,21.0,,51.8,773.0,385.0,388.0,370.0,300.0,,0.0,608.0,103.0,33.387296,-79.295554
Georgetown County School District,Kensington Elementary School,2201014,E,86 Kensington BLVD,Georgetown,SC,29440,PK-5,507,843-546-8511,https://kes.gcsd.k12.sc.us/,Maurice Lee Cobb,46.0,2017,Georgetown County School District,Kensington Elementary School,E,37.1,32.5,30.7,32.9,,,,658.0,341.0,317.0,296.0,292.0,,,,70.0,33.40060902040816,-79.28765610204083
Georgetown County School District,Kensington Elementary School,2201014,E,86 Kensington BLVD,Georgetown,SC,29440,PK-5,507,843-546-8511,https://kes.gcsd.k12.sc.us/,Maurice Lee Cobb,46.0,2018,Georgetown County Schools,Kensington,E,30.2,32.9,40.6,31.5,36.6,,25.7,,,,,,,,,,33.40060902040816,-79.28765610204083
